Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG_status	gene_id	gene_name	gene_biotype
gene:FGSG_00036	31729.9843155205	12.6335215954152	0.193787245323562	65.1927404939439	0	0	up	gene:FGSG_00036	gene:FGSG_00036	NA
gene:FGSG_00043	10131.6603919673	7.76316392180787	0.143927932927159	53.9378546187887	0	0	up	gene:FGSG_00043	gene:FGSG_00043	NA
gene:FGSG_00044	6233.79971240562	9.61731653354231	0.169822356696418	56.6316280178272	0	0	up	gene:FGSG_00044	gene:FGSG_00044	NA
gene:FGSG_00046	14811.9391334633	9.83298823801782	0.163269074107509	60.2256630152936	0	0	up	gene:FGSG_00046	gene:FGSG_00046	NA
gene:FGSG_00050	4631.1581568006	6.95125995849414	0.106649524442622	65.1785368460216	0	0	up	gene:FGSG_00050	gene:FGSG_00050	NA
gene:FGSG_00071	58212.1644999626	9.94003895664741	0.196730195709741	50.5262495205012	0	0	up	gene:FGSG_00071	gene:FGSG_00071	NA
gene:FGSG_00136	3202.47246799449	9.12378895331631	0.175155182287495	52.0897459850247	0	0	up	gene:FGSG_00136	gene:FGSG_00136	NA
gene:FGSG_00278	5825.70552910763	-3.03564901765033	0.0760825868112562	-39.8993928161393	0	0	down	gene:FGSG_00278	gene:FGSG_00278	NA
gene:FGSG_00330	15905.5742180971	2.78687392566522	0.0605575017209749	46.0202922258259	0	0	up	gene:FGSG_00330	gene:FGSG_00330	NA
gene:FGSG_00415	27496.1177837046	-2.89170704276069	0.0639827529058738	-45.1951019834163	0	0	down	gene:FGSG_00415	gene:FGSG_00415	NA
gene:FGSG_00620	3900.86841137776	4.39199179401654	0.0664746516843704	66.0701738592064	0	0	up	gene:FGSG_00620	gene:FGSG_00620	NA
gene:FGSG_00631	25450.8951826596	-5.23271220060913	0.116932956966441	-44.7496782460643	0	0	down	gene:FGSG_00631	gene:FGSG_00631	NA
gene:FGSG_00633	22837.3062901667	3.50777155887183	0.0651200198294482	53.8662544645843	0	0	up	gene:FGSG_00633	gene:FGSG_00633	NA
gene:FGSG_00671	26105.2887615333	-4.80939730138674	0.118069466173795	-40.7336245114163	0	0	down	gene:FGSG_00671	gene:FGSG_00671	NA
gene:FGSG_00773	9445.40424398558	5.22057703295417	0.133704327739608	39.0456847673722	0	0	up	gene:FGSG_00773	gene:FGSG_00773	NA
gene:FGSG_00798	23126.9454571342	-4.54586942384199	0.108122311375486	-42.0437684508532	0	0	down	gene:FGSG_00798	gene:FGSG_00798	NA
gene:FGSG_00802	26346.1140716323	-4.63074960300996	0.0992554478993619	-46.6548658135644	0	0	down	gene:FGSG_00802	gene:FGSG_00802	NA
gene:FGSG_00845	25607.1259027955	-4.3720380549151	0.101035996329099	-43.2720833540779	0	0	down	gene:FGSG_00845	gene:FGSG_00845	NA
gene:FGSG_01016	26848.6337819612	-5.10793369632487	0.118528880873544	-43.0944227152066	0	0	down	gene:FGSG_01016	gene:FGSG_01016	NA
gene:FGSG_01021	20090.2885709317	-5.64658514005794	0.11548504584236	-48.8945135612249	0	0	down	gene:FGSG_01021	gene:FGSG_01021	NA
gene:FGSG_01049	18485.2893436673	4.29143291255987	0.0679102069254195	63.1927527075985	0	0	up	gene:FGSG_01049	gene:FGSG_01049	NA
gene:FGSG_01154	32147.7786992824	-4.57507146378848	0.0966781512941969	-47.3227032431173	0	0	down	gene:FGSG_01154	gene:FGSG_01154	NA
gene:FGSG_01230	992.00440674716	6.43276635270746	0.156873657751377	41.0060327840542	0	0	up	gene:FGSG_01230	gene:FGSG_01230	NA
gene:FGSG_01238	15097.3663112796	-5.19105320548711	0.121819834688777	-42.6125451470946	0	0	down	gene:FGSG_01238	gene:FGSG_01238	NA
gene:FGSG_01278	24104.6860645009	-3.80357670231478	0.0947378580011827	-40.1484346655515	0	0	down	gene:FGSG_01278	gene:FGSG_01278	NA
gene:FGSG_01433	24839.4101452191	4.1974445416206	0.0996005567945221	42.1427818950852	0	0	up	gene:FGSG_01433	gene:FGSG_01433	NA
gene:FGSG_01496	1510.34033030722	4.70097254852866	0.0886790122819874	53.0111063210785	0	0	up	gene:FGSG_01496	gene:FGSG_01496	NA
gene:FGSG_01504	24521.6496717079	-4.38201851748971	0.0998187427196541	-43.8997566799336	0	0	down	gene:FGSG_01504	gene:FGSG_01504	NA
gene:FGSG_01509	40173.5853320388	-4.45704141370199	0.11300222924481	-39.4420662626592	0	0	down	gene:FGSG_01509	gene:FGSG_01509	NA
gene:FGSG_01516	23539.8538002166	-4.41584481301656	0.100073117163183	-44.1261843159728	0	0	down	gene:FGSG_01516	gene:FGSG_01516	NA
gene:FGSG_01956	26601.6578202081	-5.01469903074274	0.109456432472142	-45.8145667411466	0	0	down	gene:FGSG_01956	gene:FGSG_01956	NA
