Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG_status	gene_id	gene_name	gene_biotype
gene:FGSG_10766	305.850529242875	2.74613276614362	0.14432499716441	19.0274229696698	1.01103960637708e-80	8.43813655482311e-77	up	gene:FGSG_10766	gene:FGSG_10766	NA
gene:FGSG_06751	3096.93386231055	1.09396843255249	0.110169725398884	9.92984623127301	3.08731270218424e-23	1.28833559062148e-19	up	gene:FGSG_06751	gene:FGSG_06751	NA
gene:FGSG_11585	1060.67687841674	1.42211521794121	0.165332746761166	8.6015338509772	7.86576943318762e-18	2.1882570563128e-14	up	gene:FGSG_11585	gene:FGSG_11585	NA
gene:FGSG_04709	257.951719293592	-1.46834749169192	0.247852273207106	-5.92428494882096	3.13659172799721e-09	4.36299909364412e-06	down	gene:FGSG_04709	gene:FGSG_04709	NA
gene:FGSG_00150	315.505886601861	-1.35849970568217	0.26713173209902	-5.08550479947701	3.66649559354665e-07	0.000133045966190175	down	gene:FGSG_00150	gene:FGSG_00150	NA
gene:FGSG_02551	421.459333859012	-1.29452603297255	0.26462752110965	-4.89187982997489	9.9877422161624e-07	0.000277858988453638	down	gene:FGSG_02551	gene:FGSG_02551	NA
gene:FGSG_06553	543.691536883273	-1.286391524216	0.273236318465873	-4.70798146980843	2.50181837437126e-06	0.000564329085202772	down	gene:FGSG_06553	gene:FGSG_06553	NA
gene:FGSG_12745	9711.88794791791	-1.11310589130471	0.244065992181833	-4.56067591127331	5.09892261165436e-06	0.00101322876468732	down	gene:FGSG_12745	gene:FGSG_12745	NA
gene:FGSG_05697	2460.13261750835	-1.05268562277537	0.23601850634962	-4.46018254693979	8.18898728022204e-06	0.00137656996618461	down	gene:FGSG_05697	gene:FGSG_05697	NA
gene:FGSG_03440	57.1401259693648	-1.77995834624526	0.407263553332004	-4.37053188698727	1.2394425220907e-05	0.00180995460084703	down	gene:FGSG_03440	gene:FGSG_03440	NA
gene:FGSG_12225	96.3685419966538	-1.77413066999743	0.408893266732215	-4.33886007508973	1.43223671945497e-05	0.00195958158370019	down	gene:FGSG_12225	gene:FGSG_12225	NA
gene:FGSG_03083	233.520700039996	-1.34552750981329	0.321135061024772	-4.18991157651733	2.7906317954718e-05	0.00327856826015394	down	gene:FGSG_03083	gene:FGSG_03083	NA
gene:FGSG_03385	2698.78402663794	-1.32671980198358	0.32298068644739	-4.1077372662024	3.99554240968341e-05	0.00433075285080749	down	gene:FGSG_03385	gene:FGSG_03385	NA
gene:FGSG_08639	390.676961361519	-1.09865794273439	0.276025219297417	-3.98028102479501	6.8833846057239e-05	0.00660330205969789	down	gene:FGSG_08639	gene:FGSG_08639	NA
gene:FGSG_13963	130.8929361127	-1.09945102000562	0.277384305982292	-3.96363815938386	7.38161108932367e-05	0.00692212653387588	down	gene:FGSG_13963	gene:FGSG_13963	NA
gene:FGSG_08679	47.4274855867715	-1.62947348762939	0.426892283232954	-3.81706006791457	0.000135051299477448	0.0101931581300861	down	gene:FGSG_08679	gene:FGSG_08679	NA
gene:FGSG_12570	534.480643519239	1.14046234457205	0.298609468680635	3.8192437420388	0.000133861442068386	0.0101931581300861	up	gene:FGSG_12570	gene:FGSG_12570	NA
gene:FGSG_06989	52.3119719195501	-1.08991253076565	0.285925060130278	-3.81188179262443	0.000137912830693656	0.0102769686157969	down	gene:FGSG_06989	gene:FGSG_06989	NA
gene:FGSG_11748	81.8265143842809	-1.25734583857573	0.333366779391749	-3.77165907433802	0.000162165724425625	0.0113734045046745	down	gene:FGSG_11748	gene:FGSG_11748	NA
gene:FGSG_07582	329.180494565838	-1.29681818996558	0.348073404052	-3.7257031846416	0.000194771487278519	0.0131093776840848	down	gene:FGSG_07582	gene:FGSG_07582	NA
gene:FGSG_13068	84.4623495868476	-1.19629746921481	0.32345504362524	-3.69849687859823	0.000216880016724227	0.0141412548404719	down	gene:FGSG_13068	gene:FGSG_13068	NA
gene:FGSG_08343	25964.3858699683	-1.16874893308073	0.320689564341933	-3.64448695260491	0.00026792572629262	0.0162249002547705	down	gene:FGSG_08343	gene:FGSG_08343	NA
gene:FGSG_08127	166.100231593062	1.08816354905982	0.300579008455396	3.62022469450423	0.000294347291755819	0.0171900014151926	up	gene:FGSG_08127	gene:FGSG_08127	NA
gene:FGSG_13962	431.82163642958	-1.01227571079732	0.288197876430592	-3.51243292745466	0.000444024063776906	0.0221905678819285	down	gene:FGSG_13962	gene:FGSG_13962	NA
gene:FGSG_11439	373.55658180102	1.59706964103514	0.456227671301338	3.50059792839763	0.000464215645841124	0.0227902575305295	up	gene:FGSG_11439	gene:FGSG_11439	NA
gene:FGSG_12999	524.208667829491	-1.02402210948721	0.295013799204167	-3.47109902062081	0.000518332822556853	0.0237692622915357	down	gene:FGSG_12999	gene:FGSG_12999	NA
gene:FGSG_03595	46.2441556359944	-1.1949663808722	0.349806587563234	-3.41607740779377	0.000635301850661249	0.0268840321688058	down	gene:FGSG_03595	gene:FGSG_03595	NA
gene:FGSG_03211	112.421004573086	-1.07804629580954	0.319541527037262	-3.37372830944701	0.00074157521439461	0.028521597877131	down	gene:FGSG_03211	gene:FGSG_03211	NA
gene:FGSG_09741	204.157527073024	-1.05837155371392	0.31359614217866	-3.37495080890041	0.000738288861727357	0.028521597877131	down	gene:FGSG_09741	gene:FGSG_09741	NA
gene:FGSG_03402	166.015901121117	-1.06455164454021	0.320568561708538	-3.32082359812969	0.000897522453855379	0.0311795393602297	down	gene:FGSG_03402	gene:FGSG_03402	NA
gene:FGSG_08503	92.464838174915	-1.29746273495852	0.390627208940299	-3.32148581886629	0.000895395324242989	0.0311795393602297	down	gene:FGSG_08503	gene:FGSG_08503	NA
gene:FGSG_11150	46.015455794304	2.33627052503369	0.710184816078853	3.2896655520361	0.00100306530032471	0.0328982839605129	up	gene:FGSG_11150	gene:FGSG_11150	NA
gene:FGSG_01976	23567.3457163928	-1.15084219981098	0.350969810514637	-3.27903473556162	0.00104162813868971	0.0331810246011615	down	gene:FGSG_01976	gene:FGSG_01976	NA
gene:FGSG_12519	105.899853547885	-4.15286180925379	1.27720156909037	-3.25153202889618	0.00114784841885037	0.0348361560135462	down	gene:FGSG_12519	gene:FGSG_12519	NA
gene:FGSG_03502	651.744134845278	-1.1441680349464	0.359262279034517	-3.18477085326421	0.00144868670831828	0.0391797725411784	down	gene:FGSG_03502	gene:FGSG_03502	NA
gene:FGSG_03071	348.105976081909	-1.40906827387648	0.445609313706744	-3.16211585021715	0.00156627238770418	0.0411072620999343	down	gene:FGSG_03071	gene:FGSG_03071	NA
gene:FGSG_08291	53.964349504217	-1.1830530923865	0.379230445851598	-3.11961527701144	0.00181087387327856	0.0437243036674091	down	gene:FGSG_08291	gene:FGSG_08291	NA
gene:FGSG_02019	476.869113652394	-1.30402492879991	0.420021860753745	-3.10465966333225	0.00190498081167689	0.044410530319149	down	gene:FGSG_02019	gene:FGSG_02019	NA
gene:FGSG_11215	128.858135825459	3.33365000775094	1.07730375594203	3.09443830429784	0.00197185940908814	0.0452020393638417	up	gene:FGSG_11215	gene:FGSG_11215	NA
gene:FGSG_01572	5394.90177691893	-1.19064102761639	0.385334980070664	-3.08988565584689	0.00200233565645411	0.0454116668172988	down	gene:FGSG_01572	gene:FGSG_01572	NA
gene:FGSG_03108	129.51566674405	1.78373353158192	0.577978240088103	3.08616035667713	0.00202759441531595	0.0457359540276403	up	gene:FGSG_03108	gene:FGSG_03108	NA
gene:FGSG_01695	203.258655790773	-1.04832695792679	0.341182436083655	-3.07262873775175	0.00212182288322824	0.0465307499506891	down	gene:FGSG_01695	gene:FGSG_01695	NA
gene:FGSG_11044	158.669027375802	-2.19074614397832	0.717642454380752	-3.05269863928089	0.00226793573065225	0.0474296340580678	down	gene:FGSG_11044	gene:FGSG_11044	NA
gene:FGSG_11566	59.1367147425096	2.14127317314149	0.70108073947897	3.05424618387441	0.00225626846148431	0.0474296340580678	up	gene:FGSG_11566	gene:FGSG_11566	NA
