Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG_status	gene_id	gene_name	gene_biotype
gene:FGSG_10766	305.850529242875	2.74613276614362	0.14432499716441	19.0274229696698	1.01103960637708e-80	8.43813655482311e-77	up	gene:FGSG_10766	gene:FGSG_10766	NA
gene:FGSG_06751	3096.93386231055	1.09396843255249	0.110169725398884	9.92984623127301	3.08731270218424e-23	1.28833559062148e-19	up	gene:FGSG_06751	gene:FGSG_06751	NA
gene:FGSG_11585	1060.67687841674	1.42211521794121	0.165332746761166	8.6015338509772	7.86576943318762e-18	2.1882570563128e-14	up	gene:FGSG_11585	gene:FGSG_11585	NA
gene:FGSG_02087	774.690889992594	0.619325718543141	0.0728058674381325	8.50653581003508	1.79207271216572e-17	3.73915971393378e-14	ns	gene:FGSG_02087	gene:FGSG_02087	NA
gene:FGSG_10598	6763.40440718998	-0.399780699623215	0.0658049519518283	-6.07523731520797	1.23804490637158e-09	2.06654455771544e-06	ns	gene:FGSG_10598	gene:FGSG_10598	NA
gene:FGSG_04709	257.951719293592	-1.46834749169192	0.247852273207106	-5.92428494882096	3.13659172799721e-09	4.36299909364412e-06	down	gene:FGSG_04709	gene:FGSG_04709	NA
gene:FGSG_01015	2819.50577049488	-0.784736228796946	0.134124220636156	-5.8508166912353	4.89165106990475e-09	5.83224568991786e-06	ns	gene:FGSG_01015	gene:FGSG_01015	NA
gene:FGSG_01421	4161.17026947697	0.421492741679674	0.0732013808508034	5.75798894475429	8.51219284950154e-09	8.88034519024249e-06	ns	gene:FGSG_01421	gene:FGSG_01421	NA
gene:FGSG_03751	1313.0188240383	-0.854703975059765	0.149741867438627	-5.70784904502457	1.14412821629759e-08	9.5488940932197e-06	ns	gene:FGSG_03751	gene:FGSG_03751	NA
gene:FGSG_06896	1703.87063602775	0.82687617693044	0.144448441384332	5.7243689790351	1.03818892729765e-08	9.5488940932197e-06	ns	gene:FGSG_06896	gene:FGSG_06896	NA
gene:FGSG_08172	764.506545574858	0.544731844492099	0.0980065946540344	5.55811419032581	2.72704959954615e-08	2.06908690525565e-05	ns	gene:FGSG_08172	gene:FGSG_08172	NA
gene:FGSG_05784	13649.187948361	0.509621032178333	0.0925665261894018	5.50545702812255	3.68211771003669e-08	2.56091286733052e-05	ns	gene:FGSG_05784	gene:FGSG_05784	NA
gene:FGSG_06328	7506.75446858945	-0.389799365182834	0.0716573950861812	-5.43976465672565	5.33510001831808e-08	3.42513421176021e-05	ns	gene:FGSG_06328	gene:FGSG_06328	NA
gene:FGSG_06692	7850.08968983429	-0.667325837301768	0.123904506159669	-5.38580765127156	7.2120058295125e-08	4.29938576093652e-05	ns	gene:FGSG_06692	gene:FGSG_06692	NA
gene:FGSG_01858	500.862547059009	-0.799385411189522	0.14912900064898	-5.36036188609027	8.30554046617712e-08	4.30217814357402e-05	ns	gene:FGSG_01858	gene:FGSG_01858	NA
gene:FGSG_05133	3691.6638999137	-0.694121829499871	0.129390980686222	-5.36453024637893	8.11601596286712e-08	4.30217814357402e-05	ns	gene:FGSG_05133	gene:FGSG_05133	NA
gene:FGSG_09162	2014.3987094628	0.370530089482439	0.0693313928006515	5.34433356254393	9.07503174592469e-08	4.30217814357402e-05	ns	gene:FGSG_09162	gene:FGSG_09162	NA
gene:FGSG_12292	3158.38953286939	0.567306305796432	0.106230900338272	5.34031344919372	9.27860131611939e-08	4.30217814357402e-05	ns	gene:FGSG_12292	gene:FGSG_12292	NA
gene:FGSG_07204	598.332851489115	-0.82378473635941	0.157068191324181	-5.24475853076554	1.56487137083282e-07	6.6499161620361e-05	ns	gene:FGSG_07204	gene:FGSG_07204	NA
gene:FGSG_07671	349.78229668515	-0.7392968606676	0.141049281992838	-5.24140818175267	1.5935576712284e-07	6.6499161620361e-05	ns	gene:FGSG_07671	gene:FGSG_07671	NA
gene:FGSG_10969	623.194109817321	-0.756773697198248	0.146391257090541	-5.16952796388786	2.3468601752954e-07	9.32709286810259e-05	ns	gene:FGSG_10969	gene:FGSG_10969	NA
gene:FGSG_04088	8002.57613133789	0.334725650420936	0.0655886723160827	5.10340640542071	3.33593533983229e-07	0.000126553256119274	ns	gene:FGSG_04088	gene:FGSG_04088	NA
gene:FGSG_00150	315.505886601861	-1.35849970568217	0.26713173209902	-5.08550479947701	3.66649559354665e-07	0.000133045966190175	down	gene:FGSG_00150	gene:FGSG_00150	NA
gene:FGSG_02783	6910.79161654446	0.297490304103824	0.0586016609599336	5.07648246194286	3.84486269272005e-07	0.00013370510013934	ns	gene:FGSG_02783	gene:FGSG_02783	NA
gene:FGSG_13464	827.822058405979	-0.985712236519053	0.196981909924376	-5.00407492696908	5.61309230937467e-07	0.000180180263130927	ns	gene:FGSG_13464	gene:FGSG_13464	NA
gene:FGSG_14038	290.695261973107	-0.93691453070978	0.187091343472376	-5.00779198716971	5.50579899414404e-07	0.000180180263130927	ns	gene:FGSG_14038	gene:FGSG_14038	NA
gene:FGSG_06613	571.455877722212	-0.580637978037949	0.117552116304103	-4.93940897274755	7.83597122133074e-07	0.000242218577086023	ns	gene:FGSG_06613	gene:FGSG_06613	NA
gene:FGSG_10922	5193.75065311935	-0.366999751677169	0.0747426265992176	-4.91018001876068	9.09928214086414e-07	0.000271223602670186	ns	gene:FGSG_10922	gene:FGSG_10922	NA
gene:FGSG_02551	421.459333859012	-1.29452603297255	0.26462752110965	-4.89187982997489	9.9877422161624e-07	0.000277858988453638	down	gene:FGSG_02551	gene:FGSG_02551	NA
gene:FGSG_02789	912.370336175943	0.416371785299686	0.0851025693744486	4.89258771339398	9.95187393838148e-07	0.000277858988453638	ns	gene:FGSG_02789	gene:FGSG_02789	NA
gene:FGSG_01417	3807.21096707144	0.486161296201469	0.0997927146400398	4.87171130633225	1.10635750839321e-06	0.000297859992420958	ns	gene:FGSG_01417	gene:FGSG_01417	NA
gene:FGSG_01158	13413.5083959339	-0.605975644578484	0.125775616248474	-4.81791036015565	1.45069514077641e-06	0.000378359426403746	ns	gene:FGSG_01158	gene:FGSG_01158	NA
gene:FGSG_09066	608.49749847118	-0.60841395542662	0.126832024812037	-4.79700577459267	1.61054960247113e-06	0.000407322635824971	ns	gene:FGSG_09066	gene:FGSG_09066	NA
gene:FGSG_12776	1452.05108844066	-0.794021862495825	0.166885409328644	-4.75788665821693	1.95630284494067e-06	0.000480214810113965	ns	gene:FGSG_12776	gene:FGSG_12776	NA
gene:FGSG_01948	1518.00232871706	-0.395993343905069	0.0833834697590101	-4.74906291438273	2.04361365145132e-06	0.00048025546594273	ns	gene:FGSG_01948	gene:FGSG_01948	NA
gene:FGSG_03378	20434.3763186343	-0.628688291600504	0.132458174947873	-4.74631552071375	2.07155484950135e-06	0.00048025546594273	ns	gene:FGSG_03378	gene:FGSG_03378	NA
gene:FGSG_06553	543.691536883273	-1.286391524216	0.273236318465873	-4.70798146980843	2.50181837437126e-06	0.000564329085202772	down	gene:FGSG_06553	gene:FGSG_06553	NA
gene:FGSG_04271	641.966583248526	-0.496963617572494	0.107027154693814	-4.6433413930719	3.42819184985455e-06	0.000733633055868873	ns	gene:FGSG_04271	gene:FGSG_04271	NA
gene:FGSG_07890	1744.18824485649	0.881565810825464	0.18964512630599	4.6485023264087	3.34353851285474e-06	0.000733633055868873	ns	gene:FGSG_07890	gene:FGSG_07890	NA
gene:FGSG_07174	1933.17683829148	-0.567174510665898	0.123387239852673	-4.59670312216332	4.29228519130213e-06	0.000895585305165189	ns	gene:FGSG_07174	gene:FGSG_07174	NA
gene:FGSG_06069	4202.11573710507	-0.404195875270463	0.0884572434913503	-4.56939261633206	4.89139707399176e-06	0.00099569756047647	ns	gene:FGSG_06069	gene:FGSG_06069	NA
gene:FGSG_12745	9711.88794791791	-1.11310589130471	0.244065992181833	-4.56067591127331	5.09892261165436e-06	0.00101322876468732	down	gene:FGSG_12745	gene:FGSG_12745	NA
