contrast_id	contrast_title	Geneid	gene_id	gene_name	gene_biotype	log2FoldChange	lfcSE	pvalue	padj	DEG_status
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00036	gene:FGSG_00036	gene:FGSG_00036	NA	12.8964802139889	0.228981070628399	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00043	gene:FGSG_00043	gene:FGSG_00043	NA	7.8403981433968	0.1454919243848	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00044	gene:FGSG_00044	gene:FGSG_00044	NA	9.33273380694131	0.159578431555803	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00046	gene:FGSG_00046	gene:FGSG_00046	NA	9.60286841622315	0.161788798559968	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00050	gene:FGSG_00050	gene:FGSG_00050	NA	7.23942069836403	0.108660663778311	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00071	gene:FGSG_00071	gene:FGSG_00071	NA	10.9142179924321	0.201004474435091	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00136	gene:FGSG_00136	gene:FGSG_00136	NA	8.43948233856686	0.188837768836446	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00192	gene:FGSG_00192	gene:FGSG_00192	NA	2.71931757940769	0.0679049183773124	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00278	gene:FGSG_00278	gene:FGSG_00278	NA	-2.84773230507755	0.0684960540558605	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00330	gene:FGSG_00330	gene:FGSG_00330	NA	3.12267399496853	0.0598836648236068	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00554	gene:FGSG_00554	gene:FGSG_00554	NA	4.73611945195851	0.0996633851590124	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00620	gene:FGSG_00620	gene:FGSG_00620	NA	4.34994754764268	0.0644669505510214	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00631	gene:FGSG_00631	gene:FGSG_00631	NA	-4.71968638004851	0.111497048489683	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00633	gene:FGSG_00633	gene:FGSG_00633	NA	3.28882297338188	0.064756603716841	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00773	gene:FGSG_00773	gene:FGSG_00773	NA	5.12933369645025	0.133182573182156	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00798	gene:FGSG_00798	gene:FGSG_00798	NA	-4.06997415554777	0.104098592146611	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00802	gene:FGSG_00802	gene:FGSG_00802	NA	-4.17747312764213	0.0951056050915075	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00840	gene:FGSG_00840	gene:FGSG_00840	NA	4.13880737199061	0.0979679488237093	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00845	gene:FGSG_00845	gene:FGSG_00845	NA	-3.80663230342577	0.0973818983139935	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01016	gene:FGSG_01016	gene:FGSG_01016	NA	-4.74848113596889	0.113839007608743	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01021	gene:FGSG_01021	gene:FGSG_01021	NA	-5.21366631738151	0.106681834673077	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01049	gene:FGSG_01049	gene:FGSG_01049	NA	3.9024580188414	0.0674444221435379	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01154	gene:FGSG_01154	gene:FGSG_01154	NA	-4.03491904391996	0.0932465346139079	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01195	gene:FGSG_01195	gene:FGSG_01195	NA	-3.94605159154025	0.101802820083258	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01230	gene:FGSG_01230	gene:FGSG_01230	NA	7.11777114032004	0.17237920919455	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01238	gene:FGSG_01238	gene:FGSG_01238	NA	-4.52864372998004	0.113209500680025	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01278	gene:FGSG_01278	gene:FGSG_01278	NA	-3.5541775836993	0.0919681124921487	0	0	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01433	gene:FGSG_01433	gene:FGSG_01433	NA	4.04150542020154	0.0993204562681333	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01496	gene:FGSG_01496	gene:FGSG_01496	NA	4.14308898975396	0.0857668001852151	0	0	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01504	gene:FGSG_01504	gene:FGSG_01504	NA	-3.96910925800977	0.0960771312106037	0	0	down
