Geneid	gene_id	gene_name	gene_biotype
gene:FGSG_00036	gene:FGSG_00036	gene:FGSG_00036	NA
gene:FGSG_13878	gene:FGSG_13878	gene:FGSG_13878	NA
gene:FGSG_04512	gene:FGSG_04512	gene:FGSG_04512	NA
gene:FGSG_11655	gene:FGSG_11655	gene:FGSG_11655	NA
gene:FGSG_03534	gene:FGSG_03534	gene:FGSG_03534	NA
gene:FGSG_03736	gene:FGSG_03736	gene:FGSG_03736	NA
gene:FGSG_02271	gene:FGSG_02271	gene:FGSG_02271	NA
gene:FGSG_00071	gene:FGSG_00071	gene:FGSG_00071	NA
gene:FGSG_03460	gene:FGSG_03460	gene:FGSG_03460	NA
gene:FGSG_07798	gene:FGSG_07798	gene:FGSG_07798	NA
gene:FGSG_03412	gene:FGSG_03412	gene:FGSG_03412	NA
gene:FGSG_04780	gene:FGSG_04780	gene:FGSG_04780	NA
gene:FGSG_08081	gene:FGSG_08081	gene:FGSG_08081	NA
gene:FGSG_00046	gene:FGSG_00046	gene:FGSG_00046	NA
gene:FGSG_00044	gene:FGSG_00044	gene:FGSG_00044	NA
gene:FGSG_04899	gene:FGSG_04899	gene:FGSG_04899	NA
gene:FGSG_10993	gene:FGSG_10993	gene:FGSG_10993	NA
gene:FGSG_08079	gene:FGSG_08079	gene:FGSG_08079	NA
gene:FGSG_09042	gene:FGSG_09042	gene:FGSG_09042	NA
gene:FGSG_00136	gene:FGSG_00136	gene:FGSG_00136	NA
gene:FGSG_03735	gene:FGSG_03735	gene:FGSG_03735	NA
gene:FGSG_02672	gene:FGSG_02672	gene:FGSG_02672	NA
gene:FGSG_11310	gene:FGSG_11310	gene:FGSG_11310	NA
gene:FGSG_07804	gene:FGSG_07804	gene:FGSG_07804	NA
gene:FGSG_10766	gene:FGSG_10766	gene:FGSG_10766	NA
gene:FGSG_06751	gene:FGSG_06751	gene:FGSG_06751	NA
gene:FGSG_11585	gene:FGSG_11585	gene:FGSG_11585	NA
gene:FGSG_04709	gene:FGSG_04709	gene:FGSG_04709	NA
gene:FGSG_00150	gene:FGSG_00150	gene:FGSG_00150	NA
gene:FGSG_02551	gene:FGSG_02551	gene:FGSG_02551	NA
gene:FGSG_06553	gene:FGSG_06553	gene:FGSG_06553	NA
gene:FGSG_12745	gene:FGSG_12745	gene:FGSG_12745	NA
gene:FGSG_05697	gene:FGSG_05697	gene:FGSG_05697	NA
gene:FGSG_03440	gene:FGSG_03440	gene:FGSG_03440	NA
gene:FGSG_12225	gene:FGSG_12225	gene:FGSG_12225	NA
gene:FGSG_03083	gene:FGSG_03083	gene:FGSG_03083	NA
gene:FGSG_03385	gene:FGSG_03385	gene:FGSG_03385	NA
gene:FGSG_08639	gene:FGSG_08639	gene:FGSG_08639	NA
gene:FGSG_13963	gene:FGSG_13963	gene:FGSG_13963	NA
gene:FGSG_08679	gene:FGSG_08679	gene:FGSG_08679	NA
gene:FGSG_12570	gene:FGSG_12570	gene:FGSG_12570	NA
gene:FGSG_06989	gene:FGSG_06989	gene:FGSG_06989	NA
gene:FGSG_11748	gene:FGSG_11748	gene:FGSG_11748	NA
gene:FGSG_07582	gene:FGSG_07582	gene:FGSG_07582	NA
gene:FGSG_00554	gene:FGSG_00554	gene:FGSG_00554	NA
gene:FGSG_06480	gene:FGSG_06480	gene:FGSG_06480	NA
gene:FGSG_09595	gene:FGSG_09595	gene:FGSG_09595	NA
gene:FGSG_02783	gene:FGSG_02783	gene:FGSG_02783	NA
gene:FGSG_08083	gene:FGSG_08083	gene:FGSG_08083	NA
gene:FGSG_02323	gene:FGSG_02323	gene:FGSG_02323	NA
gene:FGSG_11097	gene:FGSG_11097	gene:FGSG_11097	NA
gene:FGSG_02322	gene:FGSG_02322	gene:FGSG_02322	NA
gene:FGSG_06184	gene:FGSG_06184	gene:FGSG_06184	NA
gene:FGSG_13756	gene:FGSG_13756	gene:FGSG_13756	NA
gene:FGSG_04694	gene:FGSG_04694	gene:FGSG_04694	NA
gene:FGSG_03518	gene:FGSG_03518	gene:FGSG_03518	NA
gene:FGSG_02324	gene:FGSG_02324	gene:FGSG_02324	NA
gene:FGSG_09086	gene:FGSG_09086	gene:FGSG_09086	NA
gene:FGSG_00523	gene:FGSG_00523	gene:FGSG_00523	NA
gene:FGSG_11129	gene:FGSG_11129	gene:FGSG_11129	NA
gene:FGSG_06482	gene:FGSG_06482	gene:FGSG_06482	NA
gene:FGSG_08844	gene:FGSG_08844	gene:FGSG_08844	NA
gene:FGSG_02615	gene:FGSG_02615	gene:FGSG_02615	NA
gene:FGSG_02291	gene:FGSG_02291	gene:FGSG_02291	NA
gene:FGSG_02139	gene:FGSG_02139	gene:FGSG_02139	NA
gene:FGSG_05159	gene:FGSG_05159	gene:FGSG_05159	NA
gene:FGSG_08172	gene:FGSG_08172	gene:FGSG_08172	NA
gene:FGSG_12704	gene:FGSG_12704	gene:FGSG_12704	NA
