Geneid	gene_id	gene_name	gene_biotype
gene:FGSG_11579	gene:FGSG_11579	gene:FGSG_11579	NA
gene:FGSG_11580	gene:FGSG_11580	gene:FGSG_11580	NA
gene:FGSG_11581	gene:FGSG_11581	gene:FGSG_11581	NA
gene:FGSG_11582	gene:FGSG_11582	gene:FGSG_11582	NA
gene:FGSG_14022	gene:FGSG_14022	gene:FGSG_14022	NA
gene:FGSG_14023	gene:FGSG_14023	gene:FGSG_14023	NA
gene:FGSG_11584	gene:FGSG_11584	gene:FGSG_11584	NA
gene:FGSG_11585	gene:FGSG_11585	gene:FGSG_11585	NA
gene:FGSG_11606	gene:FGSG_11606	gene:FGSG_11606	NA
gene:FGSG_14029	gene:FGSG_14029	gene:FGSG_14029	NA
gene:FGSG_14030	gene:FGSG_14030	gene:FGSG_14030	NA
gene:FGSG_11641	gene:FGSG_11641	gene:FGSG_11641	NA
gene:FGSG_11605	gene:FGSG_11605	gene:FGSG_11605	NA
gene:FGSG_11642	gene:FGSG_11642	gene:FGSG_11642	NA
gene:FGSG_11643	gene:FGSG_11643	gene:FGSG_11643	NA
gene:FGSG_11600	gene:FGSG_11600	gene:FGSG_11600	NA
gene:FGSG_11601	gene:FGSG_11601	gene:FGSG_11601	NA
gene:FGSG_00001	gene:FGSG_00001	gene:FGSG_00001	NA
gene:FGSG_00002	gene:FGSG_00002	gene:FGSG_00002	NA
gene:FGSG_11644	gene:FGSG_11644	gene:FGSG_11644	NA
gene:FGSG_00003	gene:FGSG_00003	gene:FGSG_00003	NA
gene:FGSG_00004	gene:FGSG_00004	gene:FGSG_00004	NA
gene:FGSG_00005	gene:FGSG_00005	gene:FGSG_00005	NA
gene:FGSG_00006	gene:FGSG_00006	gene:FGSG_00006	NA
gene:FGSG_00007	gene:FGSG_00007	gene:FGSG_00007	NA
gene:FGSG_11645	gene:FGSG_11645	gene:FGSG_11645	NA
gene:FGSG_11646	gene:FGSG_11646	gene:FGSG_11646	NA
gene:FGSG_11647	gene:FGSG_11647	gene:FGSG_11647	NA
gene:FGSG_00009	gene:FGSG_00009	gene:FGSG_00009	NA
gene:FGSG_00010	gene:FGSG_00010	gene:FGSG_00010	NA
gene:FGSG_00011	gene:FGSG_00011	gene:FGSG_00011	NA
gene:FGSG_00012	gene:FGSG_00012	gene:FGSG_00012	NA
gene:FGSG_00013	gene:FGSG_00013	gene:FGSG_00013	NA
