contrast_id	contrast_title	rank_by_padj	Geneid	gene_id	locus_tag	product	padj	log2FoldChange
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	1	gene:FGSG_00036	FGSG_00036	FGSG_00036	uncharacterized protein	0	12.8964802139889
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	2	gene:FGSG_00043	FGSG_00043	FGSG_00043	uncharacterized protein	0	7.8403981433968
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	3	gene:FGSG_00044	FGSG_00044	FGSG_00044	uncharacterized protein	0	9.33273380694131
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	4	gene:FGSG_00046	FGSG_00046	FGSG_00046	uncharacterized protein	0	9.60286841622315
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	5	gene:FGSG_00050	FGSG_00050	FGSG_00050	uncharacterized protein	0	7.23942069836403
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	6	gene:FGSG_00071	FGSG_00071	FGSG_00071	uncharacterized protein	0	10.9142179924321
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	7	gene:FGSG_00136	FGSG_00136	FGSG_00136	uncharacterized protein	0	8.43948233856686
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	8	gene:FGSG_00192	FGSG_00192	FGSG_00192	cerevisin precursor	0	2.71931757940769
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	9	gene:FGSG_00278	FGSG_00278	FGSG_00278	biotin synthase	0	-2.84773230507755
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	10	gene:FGSG_00330	FGSG_00330	FGSG_00330	acetyl-coenzyme A synthetase	0	3.12267399496853
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	11	gene:FGSG_00554	FGSG_00554	FGSG_00554	uncharacterized protein	0	4.73611945195851
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	12	gene:FGSG_00620	FGSG_00620	FGSG_00620	ammonium transporter MEP2	0	4.34994754764268
