	SRR10408671	SRR10408672	SRR10408673	SRR10408674	SRR10408675	SRR10408676	SRR10408683	SRR10408684	SRR10408685	SRR10408686	SRR10408687	SRR10408688
SRR10408671	0	27.6706746189927	37.9027593400246	40.0755196780108	28.6027508301617	26.6036194907118	195.45706903546	195.40001775587	195.410602197212	204.295297855328	200.22486610481	204.042396744633
SRR10408672	27.6706746189927	0	26.3331614084178	45.6360843916641	29.443153989328	25.9018165808686	189.272885397549	189.384882436488	189.389140594116	197.819657670197	193.506635319543	197.400484787503
SRR10408673	37.9027593400246	26.3331614084178	0	54.8531979755083	39.1068129876807	35.0047178742018	187.853296998596	187.946762207748	187.909932889705	195.847535276956	191.686757109049	195.630630900395
SRR10408674	40.0755196780108	45.6360843916641	54.8531979755083	0	32.2321311664877	40.2283923981477	201.800336540222	201.910466972558	201.914231588718	210.378406085035	206.072248624042	209.772978329346
SRR10408675	28.6027508301617	29.443153989328	39.1068129876807	32.2321311664877	0	26.3922014831366	195.00696234233	195.016127191746	195.073702412258	203.4326080286	199.204732719841	202.919134595507
SRR10408676	26.6036194907118	25.9018165808686	35.0047178742018	40.2283923981477	26.3922014831366	0	194.343947778234	194.371791576167	194.402199893219	202.866669942103	198.727126613766	202.464088156648
SRR10408683	195.45706903546	189.272885397549	187.853296998596	201.800336540222	195.00696234233	194.343947778234	0	35.2971670282227	35.0226012636439	62.2855152755295	47.3151280522447	61.5807424265214
SRR10408684	195.40001775587	189.384882436488	187.946762207748	201.910466972558	195.016127191746	194.371791576167	35.2971670282227	0	32.1157195889924	60.8815340675236	45.4528238586053	59.8006535725591
SRR10408685	195.410602197212	189.389140594116	187.909932889705	201.914231588718	195.073702412258	194.402199893219	35.0226012636439	32.1157195889924	0	60.3722118191323	44.4641686836617	59.4265339538676
SRR10408686	204.295297855328	197.819657670197	195.847535276956	210.378406085035	203.4326080286	202.866669942103	62.2855152755295	60.8815340675236	60.3722118191323	0	52.6723274588587	65.0985552300599
SRR10408687	200.22486610481	193.506635319543	191.686757109049	206.072248624042	199.204732719841	198.727126613766	47.3151280522447	45.4528238586053	44.4641686836617	52.6723274588587	0	51.3967050341597
SRR10408688	204.042396744633	197.400484787503	195.630630900395	209.772978329346	202.919134595507	202.464088156648	61.5807424265214	59.8006535725591	59.4265339538676	65.0985552300599	51.3967050341597	0
