	SRR10408671	SRR10408672	SRR10408673	SRR10408674	SRR10408675	SRR10408676	SRR10408683	SRR10408684	SRR10408685	SRR10408686	SRR10408687	SRR10408688
SRR10408671	1	0.995285873196139	0.991147423766939	0.990109941696788	0.994968644557194	0.995664688071437	0.754232147740664	0.755012851050662	0.753631690587188	0.737830278358659	0.740817020926174	0.739131551778246
SRR10408672	0.995285873196139	1	0.995682926184841	0.987088919777013	0.994660272351223	0.995892064050929	0.768119405559704	0.76846544069204	0.767157774124162	0.752674660828382	0.756405422482568	0.754351830944888
SRR10408673	0.991147423766939	0.995682926184841	1	0.981301537434594	0.990574776437909	0.992482373825942	0.770886430093624	0.77128976439258	0.770083341829561	0.756822577361791	0.760212585207668	0.757992153447653
SRR10408674	0.990109941696788	0.987088919777013	0.981301537434594	1	0.993611333866636	0.990056393481119	0.737173638120337	0.7375862892055	0.736080297689518	0.721200916284657	0.724551601420763	0.723509352708286
SRR10408675	0.994968644557194	0.994660272351223	0.990574776437909	0.993611333866636	1	0.995740992083036	0.755069533772772	0.755676546834718	0.754174897743811	0.739810195895382	0.743168001189658	0.741768354565383
SRR10408676	0.995664688071437	0.995892064050929	0.992482373825942	0.990056393481119	0.995740992083036	1	0.757825428217825	0.758384450215513	0.756993079251712	0.742145404959685	0.745518226388202	0.743805589855915
SRR10408683	0.754232147740664	0.768119405559704	0.770886430093624	0.737173638120337	0.755069533772772	0.757825428217825	1	0.991490521270154	0.991569487755869	0.975082201421861	0.984598501673392	0.97579466929168
SRR10408684	0.755012851050662	0.76846544069204	0.77128976439258	0.7375862892055	0.755676546834718	0.758384450215513	0.991490521270154	1	0.992943593131409	0.976287897021132	0.985859801089373	0.977270892661591
SRR10408685	0.753631690587188	0.767157774124162	0.770083341829561	0.736080297689518	0.754174897743811	0.756993079251712	0.991569487755869	0.992943593131409	1	0.976768387019885	0.986346264138908	0.977661359849501
SRR10408686	0.737830278358659	0.752674660828382	0.756822577361791	0.721200916284657	0.739810195895382	0.742145404959685	0.975082201421861	0.976287897021132	0.976768387019885	1	0.982402193006067	0.972809582414997
SRR10408687	0.740817020926174	0.756405422482568	0.760212585207668	0.724551601420763	0.743168001189658	0.745518226388202	0.984598501673392	0.985859801089373	0.986346264138908	0.982402193006067	1	0.983417746743106
SRR10408688	0.739131551778246	0.754351830944888	0.757992153447653	0.723509352708286	0.741768354565383	0.743805589855915	0.97579466929168	0.977270892661591	0.977661359849501	0.972809582414997	0.983417746743106	1
