GO_ID	term_name	Ontology	term_size	foreground_size	overlap_size	gene_ratio	background_ratio	pvalue	overlap_genes	qvalue	log10_qvalue
GO:0003735	structural constituent of ribosome	molecular_function	142	3755	141	0.0375499334221039	0.0183344092963202	8.78496646042456e-44	23547672;23547820;23547885;23547984;23548116;23548118;23548133;23548152;23548271;23548275;23548314;23548456;23548473;23548478;23548534;23548585;23548603;23548687;23548723;23548735;23548835;23548939;23548944;23548951;23548975;23549053;23549083;23549283;23549363;23549411;23549497;23549865;23549875;23549911;23549912;23549958;23549975;23550121;23551335;23551389;23551399;23551400;23551412;23551725;23552116;23552513;23552563;23552615;23552661;23552669;23552673;23552782;23552815;23553030;23553059;23553068;23553146;23553166;23553167;23553215;23553307;23553341;23553361;23553406;23553409;23553424;23553443;23553540;23553659;23553713;23553825;23553870;23553872;23553941;23553997;23554025;23554028;23554034;23554146;23554202;23554273;23554277;23554344;23554371;23554377;23554378;23554416;23554480;23554515;23554556;23554904;23555347;23555424;23555446;23555560;23555663;23555668;23555704;23555735;23555873;23555874;23555926;23555959;23555972;23555978;23556391;23556481;23556603;23556781;23556793;23556804;23556883;23556898;23556933;23556999;23557099;23557134;23557135;23557160;23557161;23557264;23557277;23557415;23557430;23557618;23557629;23557727;23557785;23557786;23557818;23557819;23558420;23558664;23558741;23558846;23558997;23559002;23559668;23559670;23559807;23560470	8.02945934482805e-41	40.0953136964975
GO:0005840	ribosome	cellular_component	106	3755	106	0.0282290279627164	0.0136862491930278	2.16827147561614e-34	23547672;23547820;23547885;23548116;23548118;23548133;23548152;23548271;23548275;23548314;23548473;23548478;23548534;23548585;23548603;23548687;23548723;23548735;23548835;23548939;23548944;23548951;23548975;23549053;23549283;23549363;23549497;23549865;23549875;23549911;23549958;23549975;23550121;23551389;23551399;23551400;23551412;23551725;23552116;23552563;23552673;23552782;23552815;23553030;23553059;23553068;23553146;23553166;23553215;23553341;23553361;23553424;23553443;23553540;23553659;23553713;23553872;23553997;23554025;23554034;23554146;23554273;23554277;23554344;23554371;23554377;23554378;23554416;23554480;23554515;23554556;23554904;23555347;23555424;23555446;23555560;23555663;23555704;23555873;23555959;23555972;23556391;23556481;23556603;23556781;23556793;23556804;23556898;23556933;23556999;23557099;23557134;23557161;23557277;23557430;23557618;23557727;23557785;23557786;23557818;23557819;23558664;23558741;23558846;23559002;23560470	9.90900064356576e-32	31.0039701433825
GO:0006412	translation	biological_process	102	3755	97	0.025832223701731	0.0131697869593286	5.6092094343329e-25	23547672;23547885;23548116;23548118;23548133;23548152;23548271;23548275;23548478;23548534;23548835;23548944;23548951;23548975;23549053;23549363;23549497;23549865;23549875;23549911;23549958;23549975;23550121;23551389;23551399;23551400;23551412;23551725;23552116;23552615;23552673;23552815;23553030;23553059;23553068;23553146;23553166;23553215;23553341;23553424;23553443;23553540;23553659;23553713;23553872;23553997;23554025;23554028;23554146;23554273;23554277;23554344;23554371;23554377;23554378;23554416;23554480;23554515;23554556;23554904;23555347;23555424;23555446;23555560;23555663;23555704;23555735;23555797;23555873;23555874;23555959;23555972;23556481;23556603;23556781;23556793;23556804;23556933;23556999;23557099;23557134;23557161;23557430;23557618;23557786;23557818;23557819;23558420;23558661;23558664;23558741;23558846;23558997;23559002;23559668;23559670;23560470	1.70893914099342e-22	21.7672734031665
GO:0005730	nucleolus	cellular_component	99	3755	84	0.02237017310253	0.0127824402840542	3.41478746339406e-14	23547784;23547862;23547925;23547947;23548174;23548358;23548516;23548543;23548553;23548577;23548584;23548624;23548634;23548788;23548827;23548883;23549025;23549282;23549345;23549850;23549931;23549976;23550003;23550111;23551535;23551583;23551645;23551657;23551675;23552130;23552224;23552317;23552385;23552419;23552522;23552647;23552648;23552681;23552735;23552869;23552895;23553015;23553193;23553243;23553267;23553302;23553305;23553340;23553379;23553479;23553557;23553826;23553843;23553891;23553903;23553906;23554063;23554072;23554136;23554146;23554203;23554289;23554394;23554477;23554519;23554529;23554534;23555389;23555444;23555747;23555848;23555964;23556264;23556319;23556697;23556772;23556782;23556924;23556982;23556998;23557776;23558601;23559843;23560429	7.80278935385542e-12	11.1077501172538
GO:0022625	cytosolic large ribosomal subunit	cellular_component	41	3755	41	0.0109187749667111	0.0052937378954164	1.14817577110562e-13	23548275;23548314;23548473;23548478;23548534;23548603;23548687;23548723;23548939;23548951;23549283;23549497;23549865;23549875;23549912;23551400;23552563;23552782;23553068;23553146;23553424;23553941;23554025;23554034;23554277;23554416;23554904;23555347;23555560;23555663;23555668;23555873;23556793;23556933;23557099;23557160;23557161;23557277;23557727;23558846;23560470	2.09886530958108e-11	10.6780154304898
GO:0022627	cytosolic small ribosomal subunit	cellular_component	29	3755	29	0.00772303595206392	0.00374435119431892	7.20750397602696e-10	23547885;23548116;23548152;23548271;23548944;23549053;23549911;23549958;23551399;23552116;23552615;23552673;23553166;23553167;23553406;23553487;23553540;23553713;23554146;23554273;23554377;23554378;23555704;23555874;23557430;23557618;23557785;23557819;23558741	1.09794310568144e-07	6.9594201640105
GO:0003723	RNA binding	molecular_function	219	3755	150	0.0399467376830892	0.0282763072950291	1.01269942894955e-09	23547763;23547827;23547848;23547850;23547885;23547888;23547947;23547955;23548127;23548133;23548174;23548221;23548232;23548235;23548291;23548305;23548314;23548358;23548473;23548534;23548646;23548735;23548748;23548788;23548800;23548822;23548944;23549282;23549329;23549357;23549362;23549380;23549616;23549883;23549912;23549914;23549931;23549945;23549958;23549976;23550003;23550014;23550105;23550170;23550693;23551340;23551399;23551426;23551524;23551544;23551645;23551659;23551728;23551797;23552260;23552573;23552615;23552673;23552687;23552780;23552858;23552940;23553014;23553243;23553305;23553340;23553357;23553379;23553402;23553406;23553424;23553478;23553479;23553540;23553712;23553790;23553826;23553914;23553919;23553933;23553952;23553997;23554006;23554028;23554034;23554062;23554063;23554117;23554121;23554136;23554277;23554295;23554379;23554416;23554480;23554515;23554519;23555347;23555374;23555560;23555580;23555595;23555639;23555649;23555657;23555663;23555704;23555712;23555838;23555848;23555859;23555993;23556196;23556342;23556373;23556380;23556599;23556697;23556702;23556765;23556772;23556791;23556793;23556801;23556856;23556886;23556898;23556924;23557009;23557075;23557093;23557160;23557182;23557185;23557719;23557727;23557934;23558054;23558612;23558671;23558684;23558697;23559008;23559191;23559658;23559838;23560127;23560432;23560470;23560534	1.32229611151412e-07	6.878671279195
GO:0005762	mitochondrial large ribosomal subunit	cellular_component	30	3755	29	0.00772303595206392	0.00387346675274371	1.15292040661626e-08	23547820;23547984;23548456;23548585;23548975;23549411;23551389;23552661;23552669;23553215;23553307;23553341;23553361;23553659;23553825;23553870;23554371;23555735;23555959;23555978;23556481;23556804;23556999;23557264;23557629;23558420;23558664;23558997;23559807	1.31721156455908e-06	5.88034446502197
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	24	3755	24	0.00639147802929427	0.00309877340219496	2.73922873090262e-08	23547763;23548116;23548883;23549911;23550121;23551399;23551656;23551657;23551675;23552224;23552735;23553213;23553243;23554072;23554349;23554394;23554458;23554477;23555389;23555444;23555733;23556729;23556998;23560429	2.78183895560555e-06	5.55566801550727
GO:0006457	protein folding	biological_process	42	3755	36	0.00958721704394141	0.00542285345384119	5.19043812412546e-07	23547797;23548041;23548045;23548055;23548252;23548351;23548406;23548411;23548607;23548777;23548819;23549413;23550699;23552440;23552941;23553134;23553429;23553441;23553448;23553539;23553764;23553876;23554186;23554516;23555638;23555764;23556128;23556416;23556485;23556736;23557261;23557704;23557713;23557839;23558734;23559785	4.74406044545067e-05	4.32384978613653
