GO_ID	term_name	Ontology	term_size	foreground_size	overlap_size	gene_ratio	background_ratio	pvalue	overlap_genes	qvalue	log10_qvalue
GO:0003735	structural constituent of ribosome	molecular_function	142	4009	142	0.0354203043152906	0.0183344092963202	7.20123737972165e-42	23547672;23547820;23547885;23547984;23548116;23548118;23548133;23548152;23548271;23548275;23548314;23548456;23548473;23548478;23548534;23548585;23548603;23548687;23548723;23548735;23548835;23548939;23548944;23548951;23548975;23549053;23549083;23549283;23549363;23549411;23549497;23549865;23549875;23549911;23549912;23549958;23549975;23550121;23551335;23551389;23551399;23551400;23551412;23551725;23552116;23552513;23552563;23552615;23552661;23552669;23552673;23552782;23552815;23553030;23553059;23553068;23553146;23553166;23553167;23553215;23553307;23553341;23553361;23553406;23553409;23553424;23553443;23553540;23553659;23553713;23553825;23553870;23553872;23553941;23553997;23554025;23554028;23554034;23554146;23554202;23554273;23554277;23554344;23554371;23554377;23554378;23554416;23554480;23554515;23554556;23554904;23555347;23555424;23555446;23555560;23555663;23555668;23555704;23555735;23555873;23555874;23555926;23555959;23555972;23555978;23556391;23556481;23556603;23556781;23556793;23556804;23556883;23556898;23556933;23556999;23557099;23557134;23557135;23557160;23557161;23557264;23557277;23557415;23557430;23557618;23557629;23557727;23557785;23557786;23557818;23557819;23558420;23558664;23558741;23558846;23558997;23559002;23559668;23559670;23559807;23560391;23560470	6.59633343982503e-39	38.1806973992046
GO:0005840	ribosome	cellular_component	106	4009	106	0.0264405088550761	0.0136862491930278	2.45932513077102e-31	23547672;23547820;23547885;23548116;23548118;23548133;23548152;23548271;23548275;23548314;23548473;23548478;23548534;23548585;23548603;23548687;23548723;23548735;23548835;23548939;23548944;23548951;23548975;23549053;23549283;23549363;23549497;23549865;23549875;23549911;23549958;23549975;23550121;23551389;23551399;23551400;23551412;23551725;23552116;23552563;23552673;23552782;23552815;23553030;23553059;23553068;23553146;23553166;23553215;23553341;23553361;23553424;23553443;23553540;23553659;23553713;23553872;23553997;23554025;23554034;23554146;23554273;23554277;23554344;23554371;23554377;23554378;23554416;23554480;23554515;23554556;23554904;23555347;23555424;23555446;23555560;23555663;23555704;23555873;23555959;23555972;23556391;23556481;23556603;23556781;23556793;23556804;23556898;23556933;23556999;23557099;23557134;23557161;23557277;23557430;23557618;23557727;23557785;23557786;23557818;23557819;23558664;23558741;23558846;23559002;23560470	1.12637090989313e-28	27.9483185743206
GO:0006412	translation	biological_process	102	4009	98	0.0244449987528062	0.0131697869593286	1.33102179456546e-23	23547672;23547885;23548116;23548118;23548133;23548152;23548271;23548275;23548478;23548534;23548835;23548944;23548951;23548975;23549053;23549363;23549497;23549865;23549875;23549911;23549958;23549975;23550121;23551389;23551399;23551400;23551412;23551725;23552116;23552615;23552673;23552815;23553030;23553059;23553068;23553146;23553166;23553215;23553341;23553424;23553443;23553540;23553659;23553713;23553872;23553997;23554025;23554028;23554146;23554273;23554277;23554344;23554371;23554377;23554378;23554416;23554480;23554515;23554556;23554904;23555347;23555424;23555446;23555560;23555663;23555704;23555735;23555797;23555873;23555874;23555959;23555972;23556481;23556603;23556781;23556793;23556804;23556933;23556999;23557099;23557134;23557161;23557430;23557618;23557786;23557818;23557819;23558420;23558661;23558664;23558741;23558846;23558997;23559002;23559668;23559670;23560391;23560470	4.06405321273988e-21	20.3910406142458
GO:0005730	nucleolus	cellular_component	99	4009	85	0.0212022948366176	0.0127824402840542	6.1917363053427e-13	23547784;23547862;23547925;23547947;23548174;23548358;23548516;23548543;23548553;23548577;23548584;23548624;23548634;23548788;23548827;23548883;23548899;23549025;23549282;23549345;23549850;23549931;23549976;23550003;23550111;23551535;23551583;23551645;23551657;23551675;23552130;23552224;23552317;23552385;23552419;23552522;23552647;23552648;23552681;23552735;23552869;23552895;23553015;23553193;23553243;23553267;23553302;23553305;23553340;23553379;23553479;23553557;23553826;23553843;23553891;23553903;23553906;23554063;23554072;23554136;23554146;23554203;23554289;23554394;23554477;23554519;23554529;23554534;23555389;23555444;23555747;23555848;23555964;23556264;23556319;23556697;23556782;23556855;23556924;23556982;23556998;23557776;23558601;23559843;23560429	1.41790761392348e-10	9.84835206539438
GO:0022625	cytosolic large ribosomal subunit	cellular_component	41	4009	41	0.0102269892741332	0.0052937378954164	1.70423716150861e-12	23548275;23548314;23548473;23548478;23548534;23548603;23548687;23548723;23548939;23548951;23549283;23549497;23549865;23549875;23549912;23551400;23552563;23552782;23553068;23553146;23553424;23553941;23554025;23554034;23554277;23554416;23554904;23555347;23555560;23555663;23555668;23555873;23556793;23556933;23557099;23557160;23557161;23557277;23557727;23558846;23560470	3.12216247988378e-10	9.50554449964618
GO:0022627	cytosolic small ribosomal subunit	cellular_component	29	4009	29	0.00723372412072836	0.00374435119431892	4.84319501529847e-09	23547885;23548116;23548152;23548271;23548944;23549053;23549911;23549958;23551399;23552116;23552615;23552673;23553166;23553167;23553406;23553487;23553540;23553713;23554146;23554273;23554377;23554378;23555704;23555874;23557430;23557618;23557785;23557819;23558741	7.39394439002234e-07	6.13112382008659
GO:0032040	small-subunit processome	cellular_component	35	4009	33	0.00823147917186331	0.00451904454486766	5.09178261980013e-08	23547763;23547862;23547925;23547974;23548883;23549282;23549931;23551657;23552130;23552275;23552735;23553213;23553340;23553474;23553713;23553903;23553917;23554153;23554289;23554349;23554458;23555444;23555747;23556782;23556855;23556924;23556956;23556998;23557135;23557788;23557817;23559843;23560429	6.66296125676703e-06	5.17633271202396
GO:0005762	mitochondrial large ribosomal subunit	cellular_component	30	4009	29	0.00723372412072836	0.00387346675274371	7.28487834986446e-08	23547820;23547984;23548456;23548585;23548975;23549411;23551389;23552661;23552669;23553215;23553307;23553341;23553361;23553659;23553825;23553870;23554371;23555735;23555959;23555978;23556481;23556804;23556999;23557264;23557629;23558420;23558664;23558997;23559807	8.34118571059481e-06	5.07877220943822
GO:0005739	mitochondrion	cellular_component	321	4009	212	0.0528810177101522	0.0414460942543576	8.8270034820157e-08	23547757;23547771;23547844;23547865;23547878;23547883;23547979;23548055;23548128;23548130;23548136;23548164;23548184;23548207;23548221;23548278;23548295;23548309;23548327;23548331;23548343;23548377;23548520;23548568;23548715;23548776;23548785;23548791;23548799;23548817;23548832;23548833;23548861;23548886;23548943;23549072;23549097;23549277;23549305;23549337;23549338;23549365;23549369;23549429;23549444;23549450;23549455;23549834;23549909;23549933;23549962;23549974;23549975;23549997;23550029;23550132;23550205;23550229;23550230;23550353;23550464;23550567;23550569;23550725;23550860;23551039;23551265;23551381;23551667;23551939;23551952;23552088;23552128;23552146;23552277;23552301;23552394;23552410;23552455;23552472;23552589;23552695;23552733;23552742;23552775;23552793;23552899;23552916;23553028;23553104;23553153;23553208;23553227;23553247;23553254;23553295;23553404;23553409;23553417;23553454;23553543;23553686;23553703;23553722;23553819;23553855;23553867;23553957;23553987;23554008;23554009;23554059;23554118;23554155;23554274;23554299;23554312;23554313;23554353;23554409;23554419;23554492;23554509;23554515;23554573;23554897;23554913;23554922;23554945;23554952;23555351;23555361;23555390;23555394;23555446;23555482;23555510;23555518;23555563;23555623;23555685;23555702;23555708;23555761;23555823;23555842;23555846;23555863;23555864;23555882;23555909;23555948;23555965;23555973;23555984;23556014;23556271;23556348;23556397;23556462;23556552;23556602;23556715;23556722;23556763;23556773;23556781;23556794;23556807;23556894;23556903;23557031;23557038;23557060;23557067;23557093;23557217;23557256;23557312;23557330;23557608;23557622;23557631;23557677;23557765;23557825;23558146;23558429;23558641;23558661;23558703;23559001;23559065;23559076;23559200;23559235;23559332;23559670;23559699;23559726;23559821;23559847;23559860;23559917;23559918;23559934;23559995;23560047;23560064;23560087;23560117;23560150	8.98392798836265e-06	5.0465337378666
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	24	4009	24	0.00598653030680968	0.00309877340219496	1.32399312403979e-07	23547763;23548116;23548883;23549911;23550121;23551399;23551656;23551657;23551675;23552224;23552735;23553213;23553243;23554072;23554349;23554394;23554458;23554477;23555389;23555444;23555733;23556729;23556998;23560429	1.21277770162045e-05	4.91621879666603
GO:0006364	rRNA processing	biological_process	36	4009	33	0.00823147917186331	0.00464816010329245	3.05734333403582e-07	23547758;23547938;23547974;23549375;23549850;23549931;23550003;23550438;23551297;23551309;23551512;23551583;23552130;23552275;23552393;23552419;23552858;23552859;23553474;23553713;23553784;23553826;23553878;23554345;23554534;23555596;23555747;23556380;23556855;23556956;23556982;23557135;23557176	2.54593317634256e-05	4.59415299955375
