GO_ID	term_name	Ontology	term_size	foreground_size	overlap_size	gene_ratio	background_ratio	pvalue	overlap_genes	qvalue	log10_qvalue
GO:0004497	monooxygenase activity	molecular_function	129	151	12	0.0794701986754967	0.0166559070367979	7.16716327754485e-06	23548459;23549184;23549280;23550803;23550981;23551358;23555113;23555385;23556028;23556051;23556308;23558393	0.00102490434868891	2.98931666414479
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function	117	151	11	0.0728476821192053	0.0151065203357005	1.58156613931637e-05	23548459;23549184;23549280;23550803;23550981;23551358;23555113;23555385;23556051;23556308;23558393	0.00113081978961121	2.94660659986085
GO:0020037	heme binding	molecular_function	156	151	12	0.0794701986754967	0.0201420271142673	4.90038844237391e-05	23548459;23549184;23549280;23550803;23550981;23551358;23553322;23555113;23555385;23556006;23556051;23556308	0.00233585182419823	2.63155471034993
GO:0005506	iron ion binding	molecular_function	141	151	11	0.0728476821192053	0.0182052937378954	8.9790153571365e-05	23548459;23549184;23549280;23550803;23550981;23551358;23553322;23555113;23555385;23556051;23556308	0.0032099979901763	2.49349523951276
GO:0016491	oxidoreductase activity	molecular_function	239	151	14	0.0927152317880795	0.0308586184635249	0.00022267978928768	23549220;23549433;23549674;23549707;23549710;23549808;23550235;23550576;23551091;23551925;23554887;23555781;23556053;23557340	0.00636864197362765	2.19595316519008
GO:0019752	carboxylic acid metabolic process	biological_process	9	151	3	0.0198675496688742	0.00116204002582311	0.000559873679284514	23547620;23555117;23557350	0.0133436560229476	1.87472516194474
GO:0022857	transmembrane transporter activity	molecular_function	273	151	14	0.0927152317880795	0.0352485474499677	0.000851621976385946	23547619;23547696;23548027;23549704;23550933;23551063;23551103;23554780;23555118;23556332;23556542;23557938;23559019;23560783	0.0173974203747415	1.75951514252598
GO:0006696	ergosterol biosynthetic process	biological_process	24	151	4	0.0264900662251656	0.00309877340219496	0.00108860449151453	23548459;23550141;23551358;23552906	0.0194588052858222	1.71088382767007
GO:0008171	O-methyltransferase activity	molecular_function	12	151	3	0.0198675496688742	0.00154938670109748	0.00140454208315562	23549708;23549983;23550198	0.0223166130990281	1.65137171582829
GO:0051213	dioxygenase activity	molecular_function	13	151	3	0.0198675496688742	0.00167850225952227	0.00179993365312897	23552303;23555115;23556067	0.0257390512397443	1.58940746554887
GO:0004065	arylsulfatase activity	molecular_function	5	151	2	0.0132450331125828	0.000645577792123951	0.00363316216586281	23554779;23559066	0.0472311081562165	1.32577186470312
GO:0050660	flavin adenine dinucleotide binding	molecular_function	105	151	7	0.0463576158940397	0.013557133634603	0.00430669155139032	23548706;23549709;23549759;23550060;23550406;23556085;23558324	0.051321407654068	1.28970144021585
GO:0055085	transmembrane transport	biological_process	521	151	19	0.125827814569536	0.0672692059393157	0.00587017509409464	23547619;23547696;23548027;23549534;23549704;23550684;23550933;23551063;23551103;23554656;23554778;23554780;23555118;23556332;23556542;23557938;23559019;23559516;23560783	0.064571926035041	1.18995625937525
GO:0004312	fatty acid synthase activity	molecular_function	20	151	3	0.0198675496688742	0.0025823111684958	0.00649238646842288	23549706;23551925;23555781	0.0663150903560337	1.17838763430053
GO:0007131	reciprocal meiotic recombination	biological_process	7	151	2	0.0132450331125828	0.000903808908973531	0.00743617597719876	23553100;23559096	0.066740841620449	1.17560832107331
GO:0006633	fatty acid biosynthetic process	biological_process	21	151	3	0.0198675496688742	0.00271142672692059	0.00746750675473555	23549706;23551925;23555781	0.066740841620449	1.17560832107331
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	70	151	5	0.033112582781457	0.00903808908973531	0.0115463425851985	23549052;23555783;23557966;23558302;23558865	0.0935181308882272	1.02910418184024
