GO_ID	term_name	Ontology	term_size	foreground_size	overlap_size	gene_ratio	background_ratio	pvalue	overlap_genes	qvalue	log10_qvalue
GO:0020037	heme binding	molecular_function	156	159	14	0.0880503144654088	0.0201420271142673	3.41367382915284e-06	23549280;23549920;23549921;23550803;23550981;23551358;23552040;23553322;23555113;23555385;23555410;23556006;23556308;23558411	0.000535946791176995	3.27087832494394
GO:0009408	response to heat	biological_process	6	159	3	0.0188679245283019	0.000774693350548741	0.000162280485423977	23548041;23548607;23550699	0.0127390181057822	1.89486404513052
GO:0042542	response to hydrogen peroxide	biological_process	7	159	3	0.0188679245283019	0.000903808908973531	0.000279710971651135	23548041;23548607;23550699	0.0146382075164094	1.83451210042195
GO:0005506	iron ion binding	molecular_function	141	159	10	0.0628930817610063	0.0182052937378954	0.000616179589434739	23549280;23549874;23550803;23550981;23551358;23553322;23555113;23555385;23556308;23558411	0.0241850488853135	1.61645303043387
GO:0016491	oxidoreductase activity	molecular_function	239	159	13	0.0817610062893082	0.0308586184635249	0.00122765389455305	23549220;23549433;23549674;23549710;23549874;23550576;23551091;23551925;23554887;23554937;23555100;23557340;23558358	0.0365582346808136	1.43701478358622
GO:0008080	N-acetyltransferase activity	molecular_function	12	159	3	0.0188679245283019	0.00154938670109748	0.00162998498576876	23548397;23550867;23551139	0.0365582346808136	1.43701478358622
GO:0008171	O-methyltransferase activity	molecular_function	12	159	3	0.0188679245283019	0.00154938670109748	0.00162998498576876	23549708;23549983;23550198	0.0365582346808136	1.43701478358622
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function	117	159	8	0.050314465408805	0.0151065203357005	0.00271765232189876	23549280;23550803;23550981;23551358;23555113;23555385;23556308;23558411	0.0533339268172632	1.2729964393382
GO:0034605	cellular response to heat	biological_process	5	159	2	0.0125786163522013	0.000645577792123951	0.00402128062517761	23548472;23559557	0.0701490064614316	1.15397847561742
GO:0004497	monooxygenase activity	molecular_function	129	159	8	0.050314465408805	0.0166559070367979	0.00494207234271127	23549280;23550803;23550981;23551358;23555113;23555385;23556308;23558411	0.0775905357805669	1.11019124921788
GO:0050660	flavin adenine dinucleotide binding	molecular_function	105	159	7	0.0440251572327044	0.013557133634603	0.00570245204719032	23548706;23549759;23550406;23552855;23553352;23555410;23558324	0.0813895428553527	1.08943139083506
GO:0055085	transmembrane transport	biological_process	521	159	19	0.119496855345912	0.0672692059393157	0.0101090007870491	23547619;23547696;23547698;23548027;23549534;23549704;23550416;23551103;23551163;23551940;23553988;23554489;23554656;23555243;23556542;23557900;23558014;23558278;23559516	0.132259426963892	0.878573363281506
GO:0003824	catalytic activity	molecular_function	93	159	6	0.0377358490566038	0.0120077469335055	0.0119680246468278	23548830;23551040;23552868;23553611;23557310;23560589	0.140437497946134	0.852516916588252
GO:0006696	ergosterol biosynthetic process	biological_process	24	159	3	0.0188679245283019	0.00309877340219496	0.0125230889888272	23551358;23552906;23553352	0.140437497946134	0.852516916588252
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	molecular_function	46	159	4	0.0251572327044025	0.00593931568754035	0.0142941997241653	23550477;23554661;23559383;23560790	0.149612623779596	0.825031760706058
GO:0009058	biosynthetic process	biological_process	26	159	3	0.0188679245283019	0.00335700451904454	0.0156143175315448	23548830;23556015;23557310	0.153215490778283	0.814697323349472
GO:0071949	FAD binding	molecular_function	108	159	6	0.0377358490566038	0.0139444803098773	0.0234295209070455	23549220;23551066;23551113;23554887;23558075;23559332	0.196738224986885	0.706111251224306
GO:0016887	ATP hydrolysis activity	molecular_function	203	159	9	0.0566037735849057	0.0262104583602324	0.0237008277884164	23548472;23549534;23549601;23551163;23553988;23555354;23555956;23559516;23559557	0.196738224986885	0.706111251224306
GO:0019441	obsolete L-tryptophan catabolic process to L-kynurenine	biological_process	12	159	2	0.0125786163522013	0.00154938670109748	0.0241513594511096	23552040;23556006	0.196738224986885	0.706111251224306
GO:0031177	phosphopantetheine binding	molecular_function	31	159	3	0.0188679245283019	0.0040025823111685	0.0250621942658452	23551040;23551925;23560589	0.196738224986885	0.706111251224306
GO:0043041	amino acid activation for nonribosomal peptide biosynthetic process	biological_process	13	159	2	0.0125786163522013	0.00167850225952227	0.0281630198192937	23551040;23560589	0.210552100553767	0.67664042152294
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	molecular_function	14	159	2	0.0125786163522013	0.00180761781794706	0.032420739412725	23549706;23551925	0.231366185808992	0.635700112928101
GO:0004601	peroxidase activity	molecular_function	15	159	2	0.0125786163522013	0.00193673337637185	0.0369128595962924	23549920;23549921	0.241872765165791	0.616413030373547
GO:0006364	rRNA processing	biological_process	36	159	3	0.0188679245283019	0.00464816010329245	0.0369741806622865	23550438;23552393;23556982	0.241872765165791	0.616413030373547
GO:0000027	ribosomal large subunit assembly	biological_process	16	159	2	0.0125786163522013	0.00206584893479664	0.041628091459648	23548624;23550438	0.26142441436659	0.582653856198601
GO:0022857	transmembrane transporter activity	molecular_function	273	159	10	0.0628930817610063	0.0352485474499677	0.0541235515745598	23547619;23547696;23547698;23548027;23549704;23551103;23551940;23555243;23556542;23557900	0.316520575930075	0.499598052716341
GO:0006457	protein folding	biological_process	42	159	3	0.0188679245283019	0.00542285345384119	0.0544334748414778	23548041;23548607;23550699	0.316520575930075	0.499598052716341
GO:0051082	obsolete unfolded protein binding	molecular_function	43	159	3	0.0188679245283019	0.00555196901226598	0.0576660226630377	23548041;23548607;23550699	0.32334162707489	0.490338380618375
GO:0004312	fatty acid synthase activity	molecular_function	20	159	2	0.0125786163522013	0.0025823111684958	0.0625067387683838	23549706;23551925	0.334510294124219	0.475590512836206
