term_id	overlap	term_size	set_size	bg_size	pvalue	gene_ratio	bg_ratio	overlap_genes	padj	term_name
fgr00100	5	29	246	10357	0.000540509257513891	0.0203252032520325	0.00280003862122236	FGSG_01000,FGSG_02783,FGSG_03686,FGSG_04092,FGSG_05740	0.0264849536181806	Steroid biosynthesis - Fusarium graminearum
fgr00430	3	13	246	10357	0.00317360055436588	0.0121951219512195	0.00125518972675485	FGSG_02327,FGSG_08083,FGSG_13829	0.0777532135819641	Taurine and hypotaurine metabolism - Fusarium graminearum
fgr00071	4	34	246	10357	0.00823099689784341	0.016260162601626	0.00328280390074346	FGSG_02034,FGSG_02291,FGSG_03244,FGSG_03363	0.134439615998109	Fatty acid degradation - Fusarium graminearum
fgr00270	4	52	246	10357	0.0345632269497654	0.016260162601626	0.00502075890701941	FGSG_00109,FGSG_08648,FGSG_10444,FGSG_13829	0.393341608284955	Cysteine and methionine metabolism - Fusarium graminearum
fgr00290	2	18	246	10357	0.0669836042110735	0.00813008130081301	0.00173795500627595	FGSG_00109,FGSG_03147	0.393341608284955	Valine, leucine and isoleucine biosynthesis - Fusarium graminearum
fgr01212	3	40	246	10357	0.068772317611966	0.0121951219512195	0.00386212223616877	FGSG_03244,FGSG_03363,FGSG_06184	0.393341608284955	Fatty acid metabolism - Fusarium graminearum
fgr00910	2	19	246	10357	0.0737251269612486	0.00813008130081301	0.00183450806218017	FGSG_02379,FGSG_06480	0.393341608284955	Nitrogen metabolism - Fusarium graminearum
fgr00350	3	43	246	10357	0.0816480156260967	0.0121951219512195	0.00415178140388143	FGSG_02034,FGSG_02291,FGSG_03801	0.393341608284955	Tyrosine metabolism - Fusarium graminearum
fgr01100	32	1068	246	10357	0.0992602190274272	0.130081300813008	0.103118663705706	FGSG_00109,FGSG_01000,FGSG_01621,FGSG_02034,FGSG_02206,FGSG_02291,FGSG_02327,FGSG_02379,FGSG_02783,FGSG_03069,FGSG_03071,FGSG_03147,FGSG_03244,FGSG_03363,FGSG_03686,FGSG_03801,FGSG_03851,FGSG_04092,FGSG_05740,FGSG_06184,FGSG_06480,FGSG_07845,FGSG_08079,FGSG_08083,FGSG_08648,FGSG_09040,FGSG_10444,FGSG_11011,FGSG_11140,FGSG_12251,FGSG_13829,FGSG_13860	0.393341608284955	Metabolic pathways - Fusarium graminearum
fgr00650	2	23	246	10357	0.102624315632723	0.00813008130081301	0.00222072028579705	FGSG_03244,FGSG_08083	0.393341608284955	Butanoate metabolism - Fusarium graminearum
fgr00010	3	49	246	10357	0.110187995642408	0.0121951219512195	0.00473109973930675	FGSG_02034,FGSG_02291,FGSG_10444	0.393341608284955	Glycolysis / Gluconeogenesis - Fusarium graminearum
fgr00380	3	49	246	10357	0.110187995642408	0.0121951219512195	0.00473109973930675	FGSG_03244,FGSG_06480,FGSG_09040	0.393341608284955	Tryptophan metabolism - Fusarium graminearum
fgr00600	2	24	246	10357	0.110268603624239	0.00813008130081301	0.00231727334170126	FGSG_03851,FGSG_07845	0.393341608284955	Sphingolipid metabolism - Fusarium graminearum
fgr04977	1	5	246	10357	0.113271911629324	0.0040650406504065	0.000482765279521097	FGSG_02139	0.393341608284955	Vitamin digestion and absorption - Fusarium graminearum
fgr00470	1	6	246	10357	0.134343695800419	0.0040650406504065	0.000579318335425316	FGSG_02206	0.393341608284955	D-Amino acid metabolism - Fusarium graminearum
fgr00660	1	6	246	10357	0.134343695800419	0.0040650406504065	0.000579318335425316	FGSG_11140	0.393341608284955	C5-Branched dibasic acid metabolism - Fusarium graminearum
fgr00620	3	54	246	10357	0.136465455935597	0.0121951219512195	0.00521386501882785	FGSG_02034,FGSG_02291,FGSG_10444	0.393341608284955	Pyruvate metabolism - Fusarium graminearum
fgr00640	2	29	246	10357	0.150434975535581	0.00813008130081301	0.00280003862122236	FGSG_03244,FGSG_10444	0.409499861560267	Propanoate metabolism - Fusarium graminearum
fgr02010	2	30	246	10357	0.158785660605002	0.00813008130081301	0.00289659167712658	FGSG_02139,FGSG_12704	0.409499861560267	ABC transporters - Fusarium graminearum
fgr00410	2	32	246	10357	0.175729925455891	0.00813008130081301	0.00308969778893502	FGSG_03244,FGSG_08083	0.430538317366932	beta-Alanine metabolism - Fusarium graminearum
fgr01110	14	451	246	10357	0.185801410019308	0.0569105691056911	0.0435454282128029	FGSG_00109,FGSG_01000,FGSG_02034,FGSG_02291,FGSG_02783,FGSG_03147,FGSG_03244,FGSG_03686,FGSG_03801,FGSG_04092,FGSG_05740,FGSG_08083,FGSG_10444,FGSG_13860	0.43345687173839	Biosynthesis of secondary metabolites - Fusarium graminearum
fgr04081	1	9	246	10357	0.19461328935193	0.0040650406504065	0.000868977503137974	FGSG_04051	0.43345687173839	Hormone signaling - Fusarium graminearum
fgr00062	1	10	246	10357	0.213759513822303	0.0040650406504065	0.000965530559042194	FGSG_03244	0.455400703360559	Fatty acid elongation - Fusarium graminearum
fgr00310	2	38	246	10357	0.227927412584888	0.00813008130081301	0.00366901612436034	FGSG_03071,FGSG_03244	0.465351800694147	Lysine degradation - Fusarium graminearum
fgr00130	1	12	246	10357	0.250702600957884	0.0040650406504065	0.00115863667085063	FGSG_13860	0.487315155958721	Ubiquinone and other terpenoid-quinone biosynthesis - Fusarium graminearum
fgr01040	1	13	246	10357	0.26852059614052	0.0040650406504065	0.00125518972675485	FGSG_06184	0.487315155958721	Biosynthesis of unsaturated fatty acids - Fusarium graminearum
fgr04382	1	13	246	10357	0.26852059614052	0.0040650406504065	0.00125518972675485	FGSG_07845	0.487315155958721	Cornified envelope formation - Fusarium graminearum
fgr00280	2	48	246	10357	0.316324632798969	0.00813008130081301	0.00463454668340253	FGSG_00109,FGSG_03244	0.534479551970671	Valine, leucine and isoleucine degradation - Fusarium graminearum
fgr00330	2	48	246	10357	0.316324632798969	0.00813008130081301	0.00463454668340253	FGSG_02206,FGSG_03069	0.534479551970671	Arginine and proline metabolism - Fusarium graminearum
fgr00061	1	18	246	10357	0.35147586426846	0.0040650406504065	0.00173795500627595	FGSG_03363	0.555558624166276	Fatty acid biosynthesis - Fusarium graminearum
fgr04981	1	18	246	10357	0.35147586426846	0.0040650406504065	0.00173795500627595	FGSG_02139	0.555558624166276	Folate transport and metabolism - Fusarium graminearum
fgr00260	2	54	246	10357	0.368448687678226	0.00813008130081301	0.00521386501882785	FGSG_03071,FGSG_03147	0.564187053007284	Glycine, serine and threonine metabolism - Fusarium graminearum
fgr04146	2	65	246	10357	0.459454501701694	0.00813008130081301	0.00627594863377426	FGSG_03071,FGSG_03363	0.682220320708576	Peroxisome - Fusarium graminearum
fgr00770	1	28	246	10357	0.490320198774875	0.0040650406504065	0.00270348556531814	FGSG_00109	0.686448278284825	Pantothenate and CoA biosynthesis - Fusarium graminearum
fgr03410	1	28	246	10357	0.490320198774875	0.0040650406504065	0.00270348556531814	FGSG_00873	0.686448278284825	Base excision repair - Fusarium graminearum
fgr00460	1	31	246	10357	0.525879412336092	0.0040650406504065	0.0029931447330308	FGSG_06480	0.71139333234146	Cyanoamino acid metabolism - Fusarium graminearum
fgr00040	1	32	246	10357	0.537174557074163	0.0040650406504065	0.00308969778893502	FGSG_11011	0.71139333234146	Pentose and glucuronate interconversions - Fusarium graminearum
fgr00250	1	38	246	10357	0.599533557531674	0.0040650406504065	0.00366901612436034	FGSG_08083	0.773082745238211	Alanine, aspartate and glutamate metabolism - Fusarium graminearum
