term_id	overlap	term_size	set_size	bg_size	pvalue	gene_ratio	bg_ratio	overlap_genes	padj	term_name
fgr00100	5	29	247	10357	0.00055060495971031	0.0202429149797571	0.00280003862122236	FGSG_02502,FGSG_03686,FGSG_04092,FGSG_05740,FGSG_06215	0.0226051650100972	Steroid biosynthesis - Fusarium graminearum
fgr00910	4	19	247	10357	0.000922659796330499	0.0161943319838057	0.00183450806218017	FGSG_02379,FGSG_06480,FGSG_08402,FGSG_11585	0.0226051650100972	Nitrogen metabolism - Fusarium graminearum
fgr01100	40	1068	247	10357	0.00252910507067701	0.161943319838057	0.103118663705706	FGSG_01621,FGSG_02034,FGSG_02291,FGSG_02379,FGSG_02502,FGSG_03069,FGSG_03071,FGSG_03363,FGSG_03686,FGSG_03801,FGSG_03851,FGSG_03890,FGSG_03993,FGSG_04092,FGSG_04212,FGSG_04828,FGSG_05697,FGSG_05740,FGSG_06184,FGSG_06215,FGSG_06480,FGSG_06751,FGSG_07845,FGSG_07890,FGSG_08066,FGSG_08079,FGSG_08343,FGSG_08402,FGSG_09040,FGSG_09049,FGSG_09554,FGSG_10062,FGSG_10444,FGSG_10766,FGSG_11011,FGSG_11528,FGSG_11585,FGSG_12251,FGSG_13829,FGSG_13860	0.0413087161543911	Metabolic pathways - Fusarium graminearum
fgr00350	5	43	247	10357	0.00340366760878811	0.0202429149797571	0.00415178140388143	FGSG_02034,FGSG_02291,FGSG_03801,FGSG_08066,FGSG_11528	0.0416949282076543	Tyrosine metabolism - Fusarium graminearum
fgr02010	4	30	247	10357	0.00531260620632782	0.0161943319838057	0.00289659167712658	FGSG_02139,FGSG_03882,FGSG_06881,FGSG_12704	0.0520635408220127	ABC transporters - Fusarium graminearum
fgr00071	4	34	247	10357	0.00834721367379892	0.0161943319838057	0.00328280390074346	FGSG_02034,FGSG_02291,FGSG_03363,FGSG_08066	0.0633654732928766	Fatty acid degradation - Fusarium graminearum
fgr00620	5	54	247	10357	0.00905221047041094	0.0202429149797571	0.00521386501882785	FGSG_02034,FGSG_02291,FGSG_03993,FGSG_08066,FGSG_10444	0.0633654732928766	Pyruvate metabolism - Fusarium graminearum
fgr00010	4	49	247	10357	0.0289375544119377	0.0161943319838057	0.00473109973930675	FGSG_02034,FGSG_02291,FGSG_08066,FGSG_10444	0.177242520773118	Glycolysis / Gluconeogenesis - Fusarium graminearum
fgr00270	4	52	247	10357	0.0350049310529106	0.0161943319838057	0.00502075890701941	FGSG_10062,FGSG_10444,FGSG_10766,FGSG_13829	0.182091683193299	Cysteine and methionine metabolism - Fusarium graminearum
fgr01040	2	13	247	10357	0.0371615679986325	0.00809716599190283	0.00125518972675485	FGSG_06184,FGSG_07890	0.182091683193299	Biosynthesis of unsaturated fatty acids - Fusarium graminearum
fgr01212	3	40	247	10357	0.0694368532464743	0.0121457489878543	0.00386212223616877	FGSG_03363,FGSG_06184,FGSG_07890	0.309309619007022	Fatty acid metabolism - Fusarium graminearum
fgr00600	2	24	247	10357	0.111015802499222	0.00809716599190283	0.00231727334170126	FGSG_03851,FGSG_07845	0.395878325798238	Sphingolipid metabolism - Fusarium graminearum
fgr00380	3	49	247	10357	0.111186976477209	0.0121457489878543	0.00473109973930675	FGSG_04828,FGSG_06480,FGSG_09040	0.395878325798238	Tryptophan metabolism - Fusarium graminearum
fgr04977	1	5	247	10357	0.113710408359801	0.00404858299595142	0.000482765279521097	FGSG_02139	0.395878325798238	Vitamin digestion and absorption - Fusarium graminearum
fgr01110	15	451	247	10357	0.121187242591297	0.0607287449392713	0.0435454282128029	FGSG_02034,FGSG_02291,FGSG_02502,FGSG_03686,FGSG_03801,FGSG_03993,FGSG_04092,FGSG_05697,FGSG_05740,FGSG_06215,FGSG_08066,FGSG_09554,FGSG_10444,FGSG_11528,FGSG_13860	0.395878325798238	Biosynthesis of secondary metabolites - Fusarium graminearum
fgr00640	2	29	247	10357	0.151409821888458	0.00809716599190283	0.00280003862122236	FGSG_06751,FGSG_10444	0.44524470465366	Propanoate metabolism - Fusarium graminearum
fgr00500	3	57	247	10357	0.154472652634943	0.0121457489878543	0.0055035241865405	FGSG_01621,FGSG_03890,FGSG_05697	0.44524470465366	Starch and sucrose metabolism - Fusarium graminearum
fgr04081	1	9	247	10357	0.195330179906359	0.00404858299595142	0.000868977503137974	FGSG_04051	0.531732156411755	Hormone signaling - Fusarium graminearum
fgr00780	1	10	247	10357	0.214537122848293	0.00404858299595142	0.000965530559042194	FGSG_09049	0.55014970498929	Biotin metabolism - Fusarium graminearum
fgr00250	2	38	247	10357	0.229287261003742	0.00809716599190283	0.00366901612436034	FGSG_06751,FGSG_09554	0.55014970498929	Alanine, aspartate and glutamate metabolism - Fusarium graminearum
fgr00130	1	12	247	10357	0.251591886764284	0.00404858299595142	0.00115863667085063	FGSG_13860	0.55014970498929	Ubiquinone and other terpenoid-quinone biosynthesis - Fusarium graminearum
fgr00300	1	12	247	10357	0.251591886764284	0.00404858299595142	0.00115863667085063	FGSG_03993	0.55014970498929	Lysine biosynthesis - Fusarium graminearum
fgr00430	1	13	247	10357	0.269461079994754	0.00404858299595142	0.00125518972675485	FGSG_13829	0.55014970498929	Taurine and hypotaurine metabolism - Fusarium graminearum
fgr04382	1	13	247	10357	0.269461079994754	0.00404858299595142	0.00125518972675485	FGSG_07845	0.55014970498929	Cornified envelope formation - Fusarium graminearum
fgr00061	1	18	247	10357	0.352630392449963	0.00404858299595142	0.00173795500627595	FGSG_03363	0.66457266269416	Fatty acid biosynthesis - Fusarium graminearum
fgr04981	1	18	247	10357	0.352630392449963	0.00404858299595142	0.00173795500627595	FGSG_02139	0.66457266269416	Folate transport and metabolism - Fusarium graminearum
fgr00650	1	23	247	10357	0.426365114144674	0.00404858299595142	0.00222072028579705	FGSG_06751	0.713333179215503	Butanoate metabolism - Fusarium graminearum
fgr00220	1	24	247	10357	0.440075953781433	0.00404858299595142	0.00231727334170126	FGSG_09554	0.713333179215503	Arginine biosynthesis - Fusarium graminearum
fgr01240	4	142	247	10357	0.440261362199109	0.0161943319838057	0.0137105339383992	FGSG_04828,FGSG_09040,FGSG_09049,FGSG_09554	0.713333179215503	Biosynthesis of cofactors - Fusarium graminearum
fgr04146	2	65	247	10357	0.461555741602575	0.00809716599190283	0.00627594863377426	FGSG_03071,FGSG_03363	0.713333179215503	Peroxisome - Fusarium graminearum
fgr00052	1	31	247	10357	0.527333050771221	0.00404858299595142	0.0029931447330308	FGSG_03890	0.713333179215503	Galactose metabolism - Fusarium graminearum
fgr00240	1	31	247	10357	0.527333050771221	0.00404858299595142	0.0029931447330308	FGSG_09554	0.713333179215503	Pyrimidine metabolism - Fusarium graminearum
fgr00460	1	31	247	10357	0.527333050771221	0.00404858299595142	0.0029931447330308	FGSG_06480	0.713333179215503	Cyanoamino acid metabolism - Fusarium graminearum
fgr00480	1	31	247	10357	0.527333050771221	0.00404858299595142	0.0029931447330308	FGSG_04212	0.713333179215503	Glutathione metabolism - Fusarium graminearum
fgr04142	2	75	247	10357	0.537465163078517	0.00809716599190283	0.00724147919281645	FGSG_07129,FGSG_12251	0.713333179215503	Lysosome biogenesis - Fusarium graminearum
fgr00040	1	32	247	10357	0.538639339407625	0.00404858299595142	0.00308969778893502	FGSG_11011	0.713333179215503	Pentose and glucuronate interconversions - Fusarium graminearum
fgr00410	1	32	247	10357	0.538639339407625	0.00404858299595142	0.00308969778893502	FGSG_06751	0.713333179215503	beta-Alanine metabolism - Fusarium graminearum
fgr00310	1	38	247	10357	0.601038623777722	0.00404858299595142	0.00366901612436034	FGSG_03071	0.775023488555484	Lysine degradation - Fusarium graminearum
fgr03008	3	134	247	10357	0.623832261095794	0.0121457489878543	0.0129381094911654	FGSG_05201,FGSG_10060,FGSG_20022	0.783789251120357	Ribosome biogenesis in eukaryotes - Fusarium graminearum
fgr00630	1	43	247	10357	0.646563781146969	0.00404858299595142	0.00415178140388143	FGSG_03069	0.791309180925235	Glyoxylate and dicarboxylate metabolism - Fusarium graminearum
fgr00280	1	48	247	10357	0.686912718461467	0.00404858299595142	0.00463454668340253	FGSG_06751	0.791309180925235	Valine, leucine and isoleucine degradation - Fusarium graminearum
fgr00330	1	48	247	10357	0.686912718461467	0.00404858299595142	0.00463454668340253	FGSG_03069	0.791309180925235	Arginine and proline metabolism - Fusarium graminearum
fgr01210	1	49	247	10357	0.694414179179288	0.00404858299595142	0.00473109973930675	FGSG_03993	0.791309180925235	2-Oxocarboxylic acid metabolism - Fusarium graminearum
fgr00260	1	54	247	10357	0.729319762910055	0.00404858299595142	0.00521386501882785	FGSG_03071	0.812197008695288	Glycine, serine and threonine metabolism - Fusarium graminearum
fgr04144	1	71	247	10357	0.820872531190611	0.00404858299595142	0.00685526696919958	FGSG_03595	0.893838978407554	Endocytosis - Fusarium graminearum
fgr00190	1	80	247	10357	0.856080322033417	0.00404858299595142	0.00772424447233755	FGSG_08343	0.896115465167547	Oxidative phosphorylation - Fusarium graminearum
fgr04141	1	81	247	10357	0.859539323732137	0.00404858299595142	0.00782079752824177	FGSG_00554	0.896115465167547	Protein processing in endoplasmic reticulum - Fusarium graminearum
fgr01230	1	123	247	10357	0.949549600484989	0.00404858299595142	0.011876025876219	FGSG_03993	0.969331883828427	Biosynthesis of amino acids - Fusarium graminearum
fgr03010	1	203	247	10357	0.992909097117191	0.00404858299595142	0.0196002703485565	FGSG_20022	0.992909097117191	Ribosome - Fusarium graminearum
