term_id	overlap	term_size	set_size	bg_size	pvalue	gene_ratio	bg_ratio	overlap_genes	padj	term_name
fgr03010	197	203	5291	10357	7.95289566384208e-50	0.0372330372330372	0.0196002703485565	FGSG_00168,FGSG_00395,FGSG_00495,FGSG_00631,FGSG_00634,FGSG_00649,FGSG_00671,FGSG_00798,FGSG_00802,FGSG_00845,FGSG_00997,FGSG_01016,FGSG_01021,FGSG_01081,FGSG_01136,FGSG_01154,FGSG_01238,FGSG_01278,FGSG_01290,FGSG_01394,FGSG_01504,FGSG_01509,FGSG_01516,FGSG_01541,FGSG_01653,FGSG_01871,FGSG_01956,FGSG_02099,FGSG_02493,FGSG_02503,FGSG_02541,FGSG_02542,FGSG_02588,FGSG_02606,FGSG_02762,FGSG_04067,FGSG_04125,FGSG_04136,FGSG_04137,FGSG_04149,FGSG_04401,FGSG_04476,FGSG_04915,FGSG_05202,FGSG_05327,FGSG_05378,FGSG_05433,FGSG_05493,FGSG_05605,FGSG_05640,FGSG_05874,FGSG_05907,FGSG_05916,FGSG_05932,FGSG_05999,FGSG_06019,FGSG_06020,FGSG_06072,FGSG_06167,FGSG_06204,FGSG_06224,FGSG_06270,FGSG_06273,FGSG_06289,FGSG_06308,FGSG_06407,FGSG_06587,FGSG_06703,FGSG_06724,FGSG_06755,FGSG_06757,FGSG_06827,FGSG_06893,FGSG_06921,FGSG_06924,FGSG_06931,FGSG_07048,FGSG_07106,FGSG_07181,FGSG_07186,FGSG_07257,FGSG_07285,FGSG_07291,FGSG_07292,FGSG_07333,FGSG_07402,FGSG_07438,FGSG_07480,FGSG_07856,FGSG_08335,FGSG_08417,FGSG_08442,FGSG_08478,FGSG_08561,FGSG_08670,FGSG_08676,FGSG_08714,FGSG_08747,FGSG_08895,FGSG_08896,FGSG_08988,FGSG_09002,FGSG_09003,FGSG_09009,FGSG_09438,FGSG_09531,FGSG_09662,FGSG_09852,FGSG_09866,FGSG_09870,FGSG_09958,FGSG_09974,FGSG_10010,FGSG_10077,FGSG_10181,FGSG_10218,FGSG_10245,FGSG_10246,FGSG_10368,FGSG_10512,FGSG_10527,FGSG_10733,FGSG_10744,FGSG_10755,FGSG_10845,FGSG_10905,FGSG_10941,FGSG_10942,FGSG_11596,FGSG_11845,FGSG_11922,FGSG_12028,FGSG_12182,FGSG_12187,FGSG_12858,FGSG_12997,FGSG_13664,FGSG_20000,FGSG_20001,FGSG_20002,FGSG_20005,FGSG_20006,FGSG_20007,FGSG_20008,FGSG_20009,FGSG_20010,FGSG_20011,FGSG_20012,FGSG_20013,FGSG_20014,FGSG_20015,FGSG_20016,FGSG_20017,FGSG_20018,FGSG_20019,FGSG_20020,FGSG_20021,FGSG_20022,FGSG_20023,FGSG_20024,FGSG_20026,FGSG_20028,FGSG_20029,FGSG_20030,FGSG_20031,FGSG_20035,FGSG_20037,FGSG_20039,FGSG_20040,FGSG_20041,FGSG_20043,FGSG_20044,FGSG_20045,FGSG_20046,FGSG_20055,FGSG_20056,FGSG_20057,FGSG_20058,FGSG_20060,FGSG_20061,FGSG_20062,FGSG_20063,FGSG_20065,FGSG_20066,FGSG_20067,FGSG_20069,FGSG_20070,FGSG_20071,FGSG_20073,FGSG_20074,FGSG_20075,FGSG_20076,FGSG_20079,FGSG_20080,FGSG_20081,FGSG_20085,FGSG_20086	1.03387643629947e-47	Ribosome - Fusarium graminearum
fgr03008	106	134	5291	10357	1.43554841783952e-11	0.02003402003402	0.0129381094911654	FGSG_00270,FGSG_00388,FGSG_00485,FGSG_00892,FGSG_01099,FGSG_01102,FGSG_01185,FGSG_01288,FGSG_01386,FGSG_01870,FGSG_02511,FGSG_04424,FGSG_05081,FGSG_05201,FGSG_06070,FGSG_06165,FGSG_06211,FGSG_06372,FGSG_06788,FGSG_06894,FGSG_07055,FGSG_07199,FGSG_07206,FGSG_07258,FGSG_07262,FGSG_07379,FGSG_07470,FGSG_08607,FGSG_08731,FGSG_08759,FGSG_09036,FGSG_09037,FGSG_09427,FGSG_09760,FGSG_09784,FGSG_09795,FGSG_09853,FGSG_10001,FGSG_10033,FGSG_10060,FGSG_10219,FGSG_10262,FGSG_10304,FGSG_10894,FGSG_10908,FGSG_10940,FGSG_20000,FGSG_20001,FGSG_20002,FGSG_20005,FGSG_20006,FGSG_20007,FGSG_20008,FGSG_20009,FGSG_20010,FGSG_20011,FGSG_20012,FGSG_20013,FGSG_20014,FGSG_20015,FGSG_20016,FGSG_20017,FGSG_20018,FGSG_20019,FGSG_20020,FGSG_20021,FGSG_20022,FGSG_20023,FGSG_20024,FGSG_20026,FGSG_20028,FGSG_20029,FGSG_20030,FGSG_20031,FGSG_20035,FGSG_20037,FGSG_20039,FGSG_20040,FGSG_20041,FGSG_20043,FGSG_20044,FGSG_20045,FGSG_20046,FGSG_20055,FGSG_20056,FGSG_20057,FGSG_20058,FGSG_20060,FGSG_20061,FGSG_20062,FGSG_20063,FGSG_20065,FGSG_20066,FGSG_20067,FGSG_20069,FGSG_20070,FGSG_20071,FGSG_20073,FGSG_20074,FGSG_20075,FGSG_20076,FGSG_20079,FGSG_20080,FGSG_20081,FGSG_20085,FGSG_20086	9.33106471595691e-10	Ribosome biogenesis in eukaryotes - Fusarium graminearum
fgr00190	60	80	5291	10357	9.54018663761463e-06	0.0113400113400113	0.00772424447233755	FGSG_00300,FGSG_00310,FGSG_00373,FGSG_00429,FGSG_00471,FGSG_00496,FGSG_00556,FGSG_00561,FGSG_00644,FGSG_00656,FGSG_01195,FGSG_01328,FGSG_01655,FGSG_01912,FGSG_01941,FGSG_01981,FGSG_02473,FGSG_02474,FGSG_02661,FGSG_04285,FGSG_04312,FGSG_04315,FGSG_05251,FGSG_05266,FGSG_05300,FGSG_05470,FGSG_05564,FGSG_05750,FGSG_06048,FGSG_06875,FGSG_06909,FGSG_06936,FGSG_07851,FGSG_07865,FGSG_07867,FGSG_08343,FGSG_08566,FGSG_08573,FGSG_08593,FGSG_08888,FGSG_09234,FGSG_09250,FGSG_09430,FGSG_09489,FGSG_09547,FGSG_09587,FGSG_09879,FGSG_10231,FGSG_10276,FGSG_10293,FGSG_10305,FGSG_10846,FGSG_10881,FGSG_11628,FGSG_11894,FGSG_12181,FGSG_12250,FGSG_12955,FGSG_13257,FGSG_13341	0.000413408087629968	Oxidative phosphorylation - Fusarium graminearum
fgr00430	11	13	5291	10357	0.0136666648095269	0.00207900207900208	0.00125518972675485	FGSG_01572,FGSG_02327,FGSG_04117,FGSG_07846,FGSG_08083,FGSG_09141,FGSG_09820,FGSG_10859,FGSG_11925,FGSG_13829,FGSG_13875	0.444166606309626	Taurine and hypotaurine metabolism - Fusarium graminearum
fgr01232	27	40	5291	10357	0.0264043475283336	0.0051030051030051	0.00386212223616877	FGSG_00751,FGSG_00861,FGSG_00904,FGSG_01063,FGSG_01561,FGSG_04155,FGSG_04270,FGSG_05187,FGSG_05409,FGSG_05665,FGSG_05956,FGSG_05972,FGSG_06932,FGSG_07470,FGSG_07471,FGSG_07475,FGSG_07608,FGSG_07897,FGSG_08678,FGSG_08970,FGSG_09100,FGSG_09185,FGSG_10227,FGSG_10358,FGSG_10737,FGSG_11202,FGSG_13064	0.686513035736674	Nucleotide metabolism - Fusarium graminearum
fgr00640	20	29	5291	10357	0.0395373488139133	0.00378000378000378	0.00280003862122236	FGSG_00175,FGSG_00330,FGSG_00490,FGSG_02030,FGSG_02287,FGSG_05554,FGSG_06751,FGSG_07019,FGSG_07898,FGSG_08622,FGSG_09240,FGSG_09844,FGSG_09896,FGSG_10126,FGSG_10444,FGSG_10885,FGSG_11295,FGSG_11884,FGSG_11925,FGSG_13240	0.847491789236198	Propanoate metabolism - Fusarium graminearum
fgr00240	21	31	5291	10357	0.0456341732665645	0.00396900396900397	0.0029931447330308	FGSG_00486,FGSG_00751,FGSG_00904,FGSG_01063,FGSG_03648,FGSG_03777,FGSG_04155,FGSG_04270,FGSG_05409,FGSG_05665,FGSG_05972,FGSG_06164,FGSG_07475,FGSG_07608,FGSG_07897,FGSG_08678,FGSG_08970,FGSG_09100,FGSG_09577,FGSG_10227,FGSG_13064	0.847491789236198	Pyrimidine metabolism - Fusarium graminearum
fgr01320	6	7	5291	10357	0.0698768771433846	0.00113400113400113	0.000675871391329536	FGSG_00903,FGSG_01417,FGSG_02482,FGSG_08463,FGSG_08528,FGSG_08875	0.999999998058643	Sulfur cycle - Fusarium graminearum
fgr03020	18	27	5291	10357	0.0756537899098439	0.0034020034020034	0.00260693250941392	FGSG_00365,FGSG_00778,FGSG_00916,FGSG_01220,FGSG_01447,FGSG_04037,FGSG_04166,FGSG_04273,FGSG_04470,FGSG_05550,FGSG_05602,FGSG_06683,FGSG_06937,FGSG_07137,FGSG_08551,FGSG_09748,FGSG_11855,FGSG_13622	0.999999998058643	RNA polymerase - Fusarium graminearum
fgr00785	12	17	5291	10357	0.0846846843171999	0.00226800226800227	0.00164140195037173	FGSG_02782,FGSG_04171,FGSG_05454,FGSG_07970,FGSG_08351,FGSG_08622,FGSG_08976,FGSG_09240,FGSG_09444,FGSG_09844,FGSG_10947,FGSG_11884	0.999999998058643	Lipoic acid metabolism - Fusarium graminearum
