Geneid	gene_id	gene_name	gene_biotype
gene:FGSG_00036	gene:FGSG_00036	gene:FGSG_00036	NA
gene:FGSG_13878	gene:FGSG_13878	gene:FGSG_13878	NA
gene:FGSG_04512	gene:FGSG_04512	gene:FGSG_04512	NA
gene:FGSG_11655	gene:FGSG_11655	gene:FGSG_11655	NA
gene:FGSG_03534	gene:FGSG_03534	gene:FGSG_03534	NA
gene:FGSG_03735	gene:FGSG_03735	gene:FGSG_03735	NA
gene:FGSG_03736	gene:FGSG_03736	gene:FGSG_03736	NA
gene:FGSG_02271	gene:FGSG_02271	gene:FGSG_02271	NA
gene:FGSG_03460	gene:FGSG_03460	gene:FGSG_03460	NA
gene:FGSG_00071	gene:FGSG_00071	gene:FGSG_00071	NA
gene:FGSG_07798	gene:FGSG_07798	gene:FGSG_07798	NA
gene:FGSG_03412	gene:FGSG_03412	gene:FGSG_03412	NA
gene:FGSG_02672	gene:FGSG_02672	gene:FGSG_02672	NA
gene:FGSG_04780	gene:FGSG_04780	gene:FGSG_04780	NA
gene:FGSG_00046	gene:FGSG_00046	gene:FGSG_00046	NA
gene:FGSG_08081	gene:FGSG_08081	gene:FGSG_08081	NA
gene:FGSG_00044	gene:FGSG_00044	gene:FGSG_00044	NA
gene:FGSG_00136	gene:FGSG_00136	gene:FGSG_00136	NA
gene:FGSG_04899	gene:FGSG_04899	gene:FGSG_04899	NA
gene:FGSG_11310	gene:FGSG_11310	gene:FGSG_11310	NA
