Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG_status	gene_id	gene_name	gene_biotype
gene:FGSG_13878	95802.3005098583	12.749113454189	0.158960799916495	80.2028768154559	0	0	up	gene:FGSG_13878	gene:FGSG_13878	NA
gene:FGSG_00036	31729.9843155205	12.6335215954152	0.193787245323562	65.1927404939439	0	0	up	gene:FGSG_00036	gene:FGSG_00036	NA
gene:FGSG_03735	5512.15770859507	11.0227895879176	0.270535968313124	40.7442664893991	0	0	up	gene:FGSG_03735	gene:FGSG_03735	NA
gene:FGSG_03534	6511.64075996305	10.9913934898394	0.271286396664296	40.5158298572588	0	0	up	gene:FGSG_03534	gene:FGSG_03534	NA
gene:FGSG_03460	23401.9586789211	10.9152271876152	0.205090663420175	53.2214729114843	0	0	up	gene:FGSG_03460	gene:FGSG_03460	NA
gene:FGSG_11655	8351.48197118673	10.7708785638248	0.20402885027759	52.7909584804823	0	0	up	gene:FGSG_11655	gene:FGSG_11655	NA
gene:FGSG_03736	6189.67663373294	10.6985786319298	0.234980655908682	45.5296143019001	0	0	up	gene:FGSG_03736	gene:FGSG_03736	NA
gene:FGSG_02271	17287.968595248	10.4228242426929	0.14830034874764	70.2818592856398	0	0	up	gene:FGSG_02271	gene:FGSG_02271	NA
gene:FGSG_07798	5527.38558300432	10.3783391542322	0.261065542100491	39.7537686158417	0	0	up	gene:FGSG_07798	gene:FGSG_07798	NA
gene:FGSG_03412	9400.5141333678	10.1934255290368	0.170122405257891	59.9181836959361	0	0	up	gene:FGSG_03412	gene:FGSG_03412	NA
gene:FGSG_02672	4083.31130821982	10.1188149204008	0.211142744403475	47.9240475394438	0	0	up	gene:FGSG_02672	gene:FGSG_02672	NA
gene:FGSG_00071	58212.1644999626	9.94003895664741	0.196730195709741	50.5262495205012	0	0	up	gene:FGSG_00071	gene:FGSG_00071	NA
gene:FGSG_00046	14811.9391334633	9.83298823801782	0.163269074107509	60.2256630152936	0	0	up	gene:FGSG_00046	gene:FGSG_00046	NA
gene:FGSG_00044	6233.79971240562	9.61731653354231	0.169822356696418	56.6316280178272	0	0	up	gene:FGSG_00044	gene:FGSG_00044	NA
gene:FGSG_04780	3382.57853650572	9.54000149782766	0.215545354782169	44.2598334233129	0	0	up	gene:FGSG_04780	gene:FGSG_04780	NA
gene:FGSG_00136	3202.47246799449	9.12378895331631	0.175155182287495	52.0897459850247	0	0	up	gene:FGSG_00136	gene:FGSG_00136	NA
gene:FGSG_11310	3575.49467354236	8.8506383372052	0.163502195106874	54.131617813571	0	0	up	gene:FGSG_11310	gene:FGSG_11310	NA
gene:FGSG_07804	4851.53011269213	8.73446657478777	0.180250130052002	48.4574772415859	0	0	up	gene:FGSG_07804	gene:FGSG_07804	NA
gene:FGSG_10993	7691.5389438262	8.529582864293	0.126564105706302	67.3933799531304	0	0	up	gene:FGSG_10993	gene:FGSG_10993	NA
gene:FGSG_09042	2170.53502152064	8.46883027039654	0.204528269522519	41.4066490180914	0	0	up	gene:FGSG_09042	gene:FGSG_09042	NA
