GO_ID	term_name	Ontology	term_size	foreground_size	overlap_size	gene_ratio	background_ratio	pvalue	overlap_genes	qvalue	log10_qvalue
GO:0008270	zinc ion binding	molecular_function	522	256	33	0.12890625	0.0673983214977405	0.000218520906817974	23547653;23547716;23548061;23549292;23549702;23550287;23550907;23551077;23551156;23551159;23551432;23552349;23552509;23552885;23552950;23553574;23553743;23554173;23554638;23555047;23555100;23555388;23555843;23556040;23556856;23557063;23557436;23557439;23557926;23557991;23558815;23559212;23560723	0.0587821239340351	1.23075472591624
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	342	256	21	0.08203125	0.0441575209812782	0.00446961498885686	23547653;23547716;23548061;23549702;23550907;23551077;23551159;23552349;23552885;23552950;23553574;23554883;23555047;23555388;23555843;23556937;23557439;23557926;23558815;23559212;23560723	0.501793028157193	0.299475377006848
GO:0008168	methyltransferase activity	molecular_function	56	256	6	0.0234375	0.00723047127178825	0.0100095329051415	23550350;23551078;23552857;23553931;23554688;23556174	0.501793028157193	0.299475377006848
GO:0006000	fructose metabolic process	biological_process	5	256	2	0.0078125	0.000645577792123951	0.0101873894864686	23550456;23551598	0.501793028157193	0.299475377006848
GO:0004601	peroxidase activity	molecular_function	15	256	3	0.01171875	0.00193673337637185	0.0120938347247975	23548694;23550033;23557836	0.501793028157193	0.299475377006848
GO:0006351	DNA-templated transcription	biological_process	218	256	14	0.0546875	0.0281471917366043	0.0131378288855713	23547716;23548061;23550907;23551077;23551156;23551159;23551432;23552349;23554638;23555388;23556040;23557436;23557439;23559212	0.501793028157193	0.299475377006848
GO:0000956	nuclear-transcribed mRNA catabolic process	biological_process	7	256	2	0.0078125	0.000903808908973531	0.0204767326492156	23553914;23559939	0.501793028157193	0.299475377006848
GO:0016405	CoA-ligase activity	molecular_function	7	256	2	0.0078125	0.000903808908973531	0.0204767326492156	23552926;23555825	0.501793028157193	0.299475377006848
GO:0032259	methylation	biological_process	7	256	2	0.0078125	0.000903808908973531	0.0204767326492156	23553931;23556174	0.501793028157193	0.299475377006848
GO:0048278	vesicle docking	biological_process	8	256	2	0.0078125	0.00103292446739832	0.0267133672330298	23548416;23559760	0.501793028157193	0.299475377006848
GO:0015297	antiporter activity	molecular_function	20	256	3	0.01171875	0.0025823111684958	0.02684261698742	23548560;23549398;23555915	0.501793028157193	0.299475377006848
GO:0006094	gluconeogenesis	biological_process	9	256	2	0.0078125	0.00116204002582311	0.0336069563451894	23550456;23554173	0.501793028157193	0.299475377006848
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	biological_process	23	256	3	0.01171875	0.00296965784377017	0.0387958280756856	23550907;23555388;23559212	0.501793028157193	0.299475377006848
GO:0003677	DNA binding	molecular_function	276	256	15	0.05859375	0.0356358941252421	0.0398372845394536	23547716;23549702;23550092;23551077;23551156;23551159;23552349;23552512;23554638;23555993;23556040;23556856;23557436;23557439;23560835	0.501793028157193	0.299475377006848
GO:0000413	protein peptidyl-prolyl isomerization	biological_process	11	256	2	0.0078125	0.00142027114267269	0.0491679995305937	23548411;23551728	0.501793028157193	0.299475377006848
GO:0045944	positive regulation of transcription by RNA polymerase II	biological_process	101	256	7	0.02734375	0.0130406714009038	0.0493409878876103	23547653;23548061;23551159;23552380;23552950;23554501;23555047	0.501793028157193	0.299475377006848
GO:0006355	regulation of DNA-templated transcription	biological_process	265	256	14	0.0546875	0.0342156229825694	0.0559327105525117	23547716;23549702;23551077;23552349;23553095;23553493;23553574;23555843;23556238;23556937;23557439;23557926;23558815;23560723	0.501793028157193	0.299475377006848
GO:0006906	vesicle fusion	biological_process	12	256	2	0.0078125	0.00154938670109748	0.0577432359383476	23548416;23559760	0.501793028157193	0.299475377006848
