GO_ID	term_name	Ontology	term_size	foreground_size	overlap_size	gene_ratio	background_ratio	pvalue	overlap_genes	qvalue	log10_qvalue
GO:0008270	zinc ion binding	molecular_function	522	281	34	0.120996441281139	0.0673983214977405	0.000579389292904066	23547653;23547716;23548061;23549292;23549702;23549808;23550287;23550907;23551077;23551156;23551159;23551432;23552349;23552509;23552885;23552950;23553574;23553743;23554173;23554638;23555047;23555100;23555388;23555843;23556040;23556856;23557063;23557436;23557439;23557926;23557991;23558815;23559212;23560723	0.164546559184755	0.783711194759446
GO:0008168	methyltransferase activity	molecular_function	56	281	7	0.0249110320284698	0.00723047127178825	0.00388225827637908	23550350;23551078;23552857;23553931;23554688;23555642;23556174	0.535948774635596	0.27087671768825
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	342	281	22	0.0782918149466192	0.0441575209812782	0.0063391981354705	23547653;23547716;23548061;23549702;23550907;23551077;23551159;23552343;23552349;23552885;23552950;23553574;23554883;23555047;23555388;23555843;23556937;23557439;23557926;23558815;23559212;23560723	0.535948774635596	0.27087671768825
GO:0006000	fructose metabolic process	biological_process	5	281	2	0.00711743772241993	0.000645577792123951	0.0121981461360232	23550456;23551598	0.535948774635596	0.27087671768825
GO:0016491	oxidoreductase activity	molecular_function	239	281	16	0.0569395017793594	0.0308586184635249	0.0131857537803976	23547681;23548905;23549175;23549220;23549674;23549808;23550235;23550881;23551925;23552946;23554457;23555100;23555962;23556589;23557196;23560561	0.535948774635596	0.27087671768825
GO:0004601	peroxidase activity	molecular_function	15	281	3	0.0106761565836299	0.00193673337637185	0.0155496891763618	23548694;23550033;23557836	0.535948774635596	0.27087671768825
GO:0000956	nuclear-transcribed mRNA catabolic process	biological_process	7	281	2	0.00711743772241993	0.000903808908973531	0.0244128235630017	23553914;23559939	0.535948774635596	0.27087671768825
GO:0016405	CoA-ligase activity	molecular_function	7	281	2	0.00711743772241993	0.000903808908973531	0.0244128235630017	23552926;23555825	0.535948774635596	0.27087671768825
GO:0032259	methylation	biological_process	7	281	2	0.00711743772241993	0.000903808908973531	0.0244128235630017	23553931;23556174	0.535948774635596	0.27087671768825
GO:0042542	response to hydrogen peroxide	biological_process	7	281	2	0.00711743772241993	0.000903808908973531	0.0244128235630017	23550699;23552866	0.535948774635596	0.27087671768825
GO:0006351	DNA-templated transcription	biological_process	218	281	14	0.0498220640569395	0.0281471917366043	0.0270806786699046	23547716;23548061;23550907;23551077;23551156;23551159;23551432;23552349;23554638;23555388;23556040;23557436;23557439;23559212	0.535948774635596	0.27087671768825
GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	molecular_function	8	281	2	0.00711743772241993	0.00103292446739832	0.0317802938007473	23547657;23553677	0.535948774635596	0.27087671768825
GO:0048278	vesicle docking	biological_process	8	281	2	0.00711743772241993	0.00103292446739832	0.0317802938007473	23548416;23559760	0.535948774635596	0.27087671768825
GO:0015297	antiporter activity	molecular_function	20	281	3	0.0106761565836299	0.0025823111684958	0.0341087744113198	23548560;23549398;23555915	0.535948774635596	0.27087671768825
GO:0055085	transmembrane transport	biological_process	521	281	27	0.096085409252669	0.0672692059393157	0.0376398168165937	23548078;23548348;23549153;23549399;23549534;23550338;23550554;23550675;23551682;23551820;23552320;23552997;23553372;23553604;23553929;23553988;23554020;23554656;23554949;23556737;23558399;23558651;23559426;23559516;23560017;23560251;23560343	0.535948774635596	0.27087671768825
GO:0006094	gluconeogenesis	biological_process	9	281	2	0.00711743772241993	0.00116204002582311	0.0398966316996164	23550456;23554173	0.535948774635596	0.27087671768825
GO:0008840	4-hydroxy-tetrahydrodipicolinate synthase activity	molecular_function	9	281	2	0.00711743772241993	0.00116204002582311	0.0398966316996164	23550404;23550944	0.535948774635596	0.27087671768825
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	biological_process	23	281	3	0.0106761565836299	0.00296965784377017	0.0489562756763986	23550907;23555388;23559212	0.535948774635596	0.27087671768825
GO:0000413	protein peptidyl-prolyl isomerization	biological_process	11	281	2	0.00711743772241993	0.00142027114267269	0.0581249857923999	23548411;23551728	0.535948774635596	0.27087671768825
GO:0006906	vesicle fusion	biological_process	12	281	2	0.00711743772241993	0.00154938670109748	0.0681203715742013	23548416;23559760	0.535948774635596	0.27087671768825
GO:0008115	sarcosine oxidase activity	molecular_function	12	281	2	0.00711743772241993	0.00154938670109748	0.0681203715742013	23550271;23550482	0.535948774635596	0.27087671768825
GO:0045944	positive regulation of transcription by RNA polymerase II	biological_process	101	281	7	0.0249110320284698	0.0130406714009038	0.0736741986026576	23547653;23548061;23551159;23552380;23552950;23554501;23555047	0.535948774635596	0.27087671768825
GO:0003677	DNA binding	molecular_function	276	281	15	0.0533807829181495	0.0356358941252421	0.0765881021706318	23547716;23549702;23550092;23551077;23551156;23551159;23552349;23552512;23554638;23555993;23556040;23556856;23557436;23557439;23560835	0.535948774635596	0.27087671768825
