term_id	overlap	term_size	set_size	bg_size	pvalue	gene_ratio	bg_ratio	overlap_genes	padj	term_name
fgr00300	6	12	780	10357	0.000111454896585506	0.00769230769230769	0.00115863667085063	FGSG_00346,FGSG_01392,FGSG_03993,FGSG_08498,FGSG_09284,FGSG_10949	0.0121485837278202	Lysine biosynthesis - Fusarium graminearum
fgr01100	101	1068	780	10357	0.00830815129199731	0.129487179487179	0.103118663705706	FGSG_00176,FGSG_00320,FGSG_00346,FGSG_00376,FGSG_00409,FGSG_00417,FGSG_00499,FGSG_00598,FGSG_00743,FGSG_00832,FGSG_00872,FGSG_01057,FGSG_01152,FGSG_01161,FGSG_01164,FGSG_01221,FGSG_01329,FGSG_01392,FGSG_01419,FGSG_01642,FGSG_01643,FGSG_01813,FGSG_01829,FGSG_01947,FGSG_02000,FGSG_02247,FGSG_02296,FGSG_02308,FGSG_02346,FGSG_02347,FGSG_02352,FGSG_02467,FGSG_02502,FGSG_02506,FGSG_02522,FGSG_02539,FGSG_02593,FGSG_02778,FGSG_03014,FGSG_03529,FGSG_03761,FGSG_03993,FGSG_04103,FGSG_04126,FGSG_04128,FGSG_04131,FGSG_04187,FGSG_04261,FGSG_05053,FGSG_05114,FGSG_05130,FGSG_05284,FGSG_05482,FGSG_05610,FGSG_05668,FGSG_05950,FGSG_05973,FGSG_05997,FGSG_06057,FGSG_06069,FGSG_06214,FGSG_06215,FGSG_06268,FGSG_06281,FGSG_06282,FGSG_06554,FGSG_06616,FGSG_06642,FGSG_06792,FGSG_06923,FGSG_07224,FGSG_07566,FGSG_07885,FGSG_08044,FGSG_08277,FGSG_08498,FGSG_08623,FGSG_09012,FGSG_09214,FGSG_09284,FGSG_09482,FGSG_09661,FGSG_09739,FGSG_09830,FGSG_09831,FGSG_09869,FGSG_09957,FGSG_10002,FGSG_10036,FGSG_10836,FGSG_10949,FGSG_11559,FGSG_11777,FGSG_12136,FGSG_12180,FGSG_12586,FGSG_13072,FGSG_13111,FGSG_13136,FGSG_13188,FGSG_13299	0.452794245413854	Metabolic pathways - Fusarium graminearum
fgr01200	15	115	780	10357	0.0254442874774927	0.0192307692307692	0.0111036014289852	FGSG_00176,FGSG_00743,FGSG_00805,FGSG_02352,FGSG_03014,FGSG_04261,FGSG_05284,FGSG_05610,FGSG_06554,FGSG_08044,FGSG_09012,FGSG_09739,FGSG_13111,FGSG_13136,FGSG_13188	0.577396165787745	Carbon metabolism - Fusarium graminearum
fgr01250	5	24	780	10357	0.0306020770589521	0.00641025641025641	0.00231727334170126	FGSG_00872,FGSG_03014,FGSG_05668,FGSG_05997,FGSG_13188	0.577396165787745	Biosynthesis of nucleotide sugars - Fusarium graminearum
fgr04145	6	34	780	10357	0.0392324161427552	0.00769230769230769	0.00328280390074346	FGSG_00428,FGSG_01152,FGSG_08545,FGSG_09418,FGSG_10002,FGSG_10807	0.577396165787745	Phagosome - Fusarium graminearum
fgr01230	15	123	780	10357	0.0428863871832373	0.0192307692307692	0.011876025876219	FGSG_00346,FGSG_00598,FGSG_01392,FGSG_01643,FGSG_02352,FGSG_03993,FGSG_04261,FGSG_05482,FGSG_06281,FGSG_06282,FGSG_08044,FGSG_08498,FGSG_09284,FGSG_09739,FGSG_10949	0.577396165787745	Biosynthesis of amino acids - Fusarium graminearum
fgr00510	6	36	780	10357	0.0500853604515172	0.00769230769230769	0.0034759100125519	FGSG_00499,FGSG_05973,FGSG_06214,FGSG_08277,FGSG_09869,FGSG_09957	0.577396165787745	N-Glycan biosynthesis - Fusarium graminearum
fgr03050	6	36	780	10357	0.0500853604515172	0.00769230769230769	0.0034759100125519	FGSG_00367,FGSG_01160,FGSG_01198,FGSG_01605,FGSG_06159,FGSG_06886	0.577396165787745	Proteasome - Fusarium graminearum
fgr00500	8	57	780	10357	0.0622782563673036	0.0102564102564103	0.0055035241865405	FGSG_03014,FGSG_03529,FGSG_06616,FGSG_08623,FGSG_11559,FGSG_11777,FGSG_12586,FGSG_13188	0.577396165787745	Starch and sucrose metabolism - Fusarium graminearum
fgr00100	5	29	780	10357	0.0628687777735154	0.00641025641025641	0.00280003862122236	FGSG_02346,FGSG_02502,FGSG_05950,FGSG_06215,FGSG_09830	0.577396165787745	Steroid biosynthesis - Fusarium graminearum
