term_id	overlap	term_size	set_size	bg_size	pvalue	gene_ratio	bg_ratio	overlap_genes	padj	term_name
fgr00591	2	5	540	10357	0.0244250351053445	0.0037037037037037	0.000482765279521097	FGSG_02668,FGSG_10960	0.999982968109716	Linoleic acid metabolism - Fusarium graminearum
fgr04081	2	9	540	10357	0.0765869161194675	0.0037037037037037	0.000868977503137974	FGSG_04051,FGSG_05096	0.999982968109716	Hormone signaling - Fusarium graminearum
fgr00062	2	10	540	10357	0.0925223586940689	0.0037037037037037	0.000965530559042194	FGSG_00629,FGSG_03244	0.999982968109716	Fatty acid elongation - Fusarium graminearum
fgr00071	4	34	540	10357	0.0987661380536608	0.00740740740740741	0.00328280390074346	FGSG_02291,FGSG_03244,FGSG_03363,FGSG_08066	0.999982968109716	Fatty acid degradation - Fusarium graminearum
fgr01040	2	13	540	10357	0.144913586772401	0.0037037037037037	0.00125518972675485	FGSG_00629,FGSG_05784	0.999982968109716	Biosynthesis of unsaturated fatty acids - Fusarium graminearum
fgr00620	5	54	540	10357	0.149168413391948	0.00925925925925926	0.00521386501882785	FGSG_02291,FGSG_05328,FGSG_06619,FGSG_07075,FGSG_08066	0.999982968109716	Pyruvate metabolism - Fusarium graminearum
fgr01212	4	40	540	10357	0.153571400684802	0.00740740740740741	0.00386212223616877	FGSG_00629,FGSG_03244,FGSG_03363,FGSG_05784	0.999982968109716	Fatty acid metabolism - Fusarium graminearum
fgr00350	4	43	540	10357	0.18445959644941	0.00740740740740741	0.00415178140388143	FGSG_02279,FGSG_02291,FGSG_03604,FGSG_08066	0.999982968109716	Tyrosine metabolism - Fusarium graminearum
fgr00630	4	43	540	10357	0.18445959644941	0.00740740740740741	0.00415178140388143	FGSG_03069,FGSG_03647,FGSG_05695,FGSG_08352	0.999982968109716	Glyoxylate and dicarboxylate metabolism - Fusarium graminearum
fgr02010	3	30	540	10357	0.204132973996007	0.00555555555555556	0.00289659167712658	FGSG_02139,FGSG_06881,FGSG_12704	0.999982968109716	ABC transporters - Fusarium graminearum
fgr00410	3	32	540	10357	0.231873279946901	0.00555555555555556	0.00308969778893502	FGSG_02279,FGSG_03244,FGSG_09643	0.999982968109716	beta-Alanine metabolism - Fusarium graminearum
fgr04977	1	5	540	10357	0.234930302044973	0.00185185185185185	0.000482765279521097	FGSG_02139	0.999982968109716	Vitamin digestion and absorption - Fusarium graminearum
fgr00999	2	18	540	10357	0.24088584446772	0.0037037037037037	0.00173795500627595	FGSG_03139,FGSG_03410	0.999982968109716	Biosynthesis of various plant secondary metabolites - Fusarium graminearum
fgr00010	4	49	540	10357	0.251268785809163	0.00740740740740741	0.00473109973930675	FGSG_02291,FGSG_06055,FGSG_06619,FGSG_08066	0.999982968109716	Glycolysis / Gluconeogenesis - Fusarium graminearum
fgr00660	1	6	540	10357	0.274839270060401	0.00185185185185185	0.000579318335425316	FGSG_10671	0.999982968109716	C5-Branched dibasic acid metabolism - Fusarium graminearum
fgr00900	2	20	540	10357	0.280310609171481	0.0037037037037037	0.00193106111808439	FGSG_06784,FGSG_09722	0.999982968109716	Terpenoid backbone biosynthesis - Fusarium graminearum
fgr00260	4	54	540	10357	0.310196134458764	0.00740740740740741	0.00521386501882785	FGSG_02279,FGSG_03154,FGSG_06055,FGSG_08352	0.999982968109716	Glycine, serine and threonine metabolism - Fusarium graminearum
fgr03272	1	7	540	10357	0.312670087775345	0.00185185185185185	0.000675871391329536	FGSG_10964	0.999982968109716	Virion - Hepatitis viruses - Fusarium graminearum
fgr00600	2	24	540	10357	0.358294730722965	0.0037037037037037	0.00231727334170126	FGSG_01283,FGSG_10374	0.999982968109716	Sphingolipid metabolism - Fusarium graminearum
fgr00511	1	9	540	10357	0.382523761688994	0.00185185185185185	0.000868977503137974	FGSG_01283	0.999982968109716	Other glycan degradation - Fusarium graminearum
fgr00750	1	9	540	10357	0.382523761688994	0.00185185185185185	0.000868977503137974	FGSG_05308	0.999982968109716	Vitamin B6 metabolism - Fusarium graminearum
fgr01200	7	115	540	10357	0.392936336823428	0.012962962962963	0.0111036014289852	FGSG_03127,FGSG_03244,FGSG_05695,FGSG_06055,FGSG_07075,FGSG_08352,FGSG_09643	0.999982968109716	Carbon metabolism - Fusarium graminearum
fgr00360	2	28	540	10357	0.433013943333038	0.0037037037037037	0.00270348556531814	FGSG_02279,FGSG_09311	0.999982968109716	Phenylalanine metabolism - Fusarium graminearum
fgr00640	2	29	540	10357	0.450972892874643	0.0037037037037037	0.00280003862122236	FGSG_03244,FGSG_09643	0.999982968109716	Propanoate metabolism - Fusarium graminearum
