Sample	Assigned%	NoFeatures%	MultiMapping%	Unmapped%	Total
SRR10408671	89.99	6.43	1.72	1.83	38500538
SRR10408672	89.90	6.22	2.08	1.76	47029869
SRR10408673	89.06	6.65	2.40	1.86	40053637
SRR10408674	89.91	6.12	2.30	1.64	50260257
SRR10408675	89.89	6.40	1.87	1.82	40131339
SRR10408676	90.05	6.35	1.68	1.89	38476536
SRR10408683	38.61	20.32	36.32	4.73	56292802
SRR10408684	43.45	21.41	29.87	5.26	32331301
SRR10408685	40.11	22.94	31.63	5.30	34629267
SRR10408686	39.73	23.08	32.19	4.99	8913884
SRR10408687	42.03	21.24	31.33	5.39	30604553
SRR10408688	44.10	20.56	30.57	4.76	8631677
