kegg_gene	pathway_id
fgr:FGSG_00139	fgr00010
fgr:FGSG_00231	fgr00010
fgr:FGSG_00330	fgr00010
fgr:FGSG_00387	fgr00010
fgr:FGSG_00500	fgr00010
fgr:FGSG_00979	fgr00010
fgr:FGSG_01346	fgr00010
fgr:FGSG_01485	fgr00010
fgr:FGSG_01686	fgr00010
fgr:FGSG_01743	fgr00010
fgr:FGSG_01759	fgr00010
fgr:FGSG_01829	fgr00010
fgr:FGSG_02034	fgr00010
fgr:FGSG_02160	fgr00010
fgr:FGSG_02273	fgr00010
fgr:FGSG_02291	fgr00010
fgr:FGSG_02296	fgr00010
fgr:FGSG_02392	fgr00010
fgr:FGSG_02770	fgr00010
fgr:FGSG_02782	fgr00010
fgr:FGSG_03014	fgr00010
fgr:FGSG_03019	fgr00010
fgr:FGSG_03992	fgr00010
fgr:FGSG_04171	fgr00010
fgr:FGSG_04194	fgr00010
fgr:FGSG_05454	fgr00010
fgr:FGSG_05831	fgr00010
fgr:FGSG_05843	fgr00010
fgr:FGSG_06055	fgr00010
fgr:FGSG_06059	fgr00010
fgr:FGSG_06257	fgr00010
fgr:FGSG_06619	fgr00010
fgr:FGSG_06702	fgr00010
fgr:FGSG_07528	fgr00010
fgr:FGSG_08044	fgr00010
fgr:FGSG_08066	fgr00010
fgr:FGSG_08399	fgr00010
fgr:FGSG_08601	fgr00010
fgr:FGSG_08774	fgr00010
fgr:FGSG_08980	fgr00010
fgr:FGSG_09280	fgr00010
fgr:FGSG_09456	fgr00010
fgr:FGSG_09834	fgr00010
fgr:FGSG_09844	fgr00010
fgr:FGSG_10200	fgr00010
fgr:FGSG_10444	fgr00010
fgr:FGSG_10445	fgr00010
fgr:FGSG_10446	fgr00010
fgr:FGSG_10462	fgr00010
fgr:FGSG_10855	fgr00010
fgr:FGSG_11369	fgr00010
fgr:FGSG_11482	fgr00010
fgr:FGSG_11557	fgr00010
fgr:FGSG_13188	fgr00010
fgr:FGSG_13865	fgr00010
fgr:FGSG_13946	fgr00010
fgr:FGSG_00175	fgr00020
fgr:FGSG_00743	fgr00020
fgr:FGSG_01422	fgr00020
fgr:FGSG_01981	fgr00020
fgr:FGSG_02030	fgr00020
fgr:FGSG_02352	fgr00020
fgr:FGSG_02461	fgr00020
fgr:FGSG_02504	fgr00020
fgr:FGSG_02782	fgr00020
fgr:FGSG_04171	fgr00020
fgr:FGSG_04309	fgr00020
fgr:FGSG_05454	fgr00020
fgr:FGSG_05610	fgr00020
fgr:FGSG_05733	fgr00020
fgr:FGSG_06039	fgr00020
fgr:FGSG_07075	fgr00020
fgr:FGSG_07898	fgr00020
fgr:FGSG_07953	fgr00020
fgr:FGSG_07970	fgr00020
fgr:FGSG_08601	fgr00020
fgr:FGSG_08712	fgr00020
fgr:FGSG_09012	fgr00020
fgr:FGSG_09580	fgr00020
fgr:FGSG_09844	fgr00020
fgr:FGSG_10347	fgr00020
fgr:FGSG_10885	fgr00020
fgr:FGSG_10947	fgr00020
fgr:FGSG_11485	fgr00020
fgr:FGSG_12857	fgr00020
fgr:FGSG_13136	fgr00020
fgr:FGSG_13240	fgr00020
fgr:FGSG_13823	fgr00020
fgr:FGSG_00387	fgr00030
fgr:FGSG_00589	fgr00030
fgr:FGSG_01018	fgr00030
fgr:FGSG_01111	fgr00030
fgr:FGSG_01279	fgr00030
fgr:FGSG_02480	fgr00030
fgr:FGSG_02770	fgr00030
fgr:FGSG_03393	fgr00030
fgr:FGSG_03779	fgr00030
fgr:FGSG_03816	fgr00030
fgr:FGSG_04261	fgr00030
fgr:FGSG_05114	fgr00030
fgr:FGSG_05843	fgr00030
fgr:FGSG_06328	fgr00030
fgr:FGSG_06553	fgr00030
fgr:FGSG_07031	fgr00030
fgr:FGSG_07724	fgr00030
fgr:FGSG_08044	fgr00030
fgr:FGSG_08045	fgr00030
fgr:FGSG_08723	fgr00030
fgr:FGSG_09280	fgr00030
fgr:FGSG_09299	fgr00030
fgr:FGSG_09456	fgr00030
fgr:FGSG_09998	fgr00030
fgr:FGSG_10339	fgr00030
fgr:FGSG_10580	fgr00030
fgr:FGSG_10840	fgr00030
fgr:FGSG_11337	fgr00030
fgr:FGSG_00231	fgr00040
fgr:FGSG_00320	fgr00040
fgr:FGSG_00524	fgr00040
fgr:FGSG_00589	fgr00040
fgr:FGSG_00655	fgr00040
fgr:FGSG_01430	fgr00040
fgr:FGSG_01523	fgr00040
fgr:FGSG_01686	fgr00040
fgr:FGSG_02386	fgr00040
fgr:FGSG_02977	fgr00040
fgr:FGSG_03194	fgr00040
fgr:FGSG_03384	fgr00040
fgr:FGSG_03406	fgr00040
fgr:FGSG_03713	fgr00040
fgr:FGSG_03908	fgr00040
fgr:FGSG_03909	fgr00040
fgr:FGSG_04223	fgr00040
fgr:FGSG_04232	fgr00040
fgr:FGSG_04247	fgr00040
fgr:FGSG_04430	fgr00040
fgr:FGSG_04864	fgr00040
fgr:FGSG_04922	fgr00040
fgr:FGSG_05128	fgr00040
fgr:FGSG_05130	fgr00040
fgr:FGSG_05507	fgr00040
fgr:FGSG_06104	fgr00040
fgr:FGSG_06619	fgr00040
fgr:FGSG_06991	fgr00040
fgr:FGSG_07551	fgr00040
fgr:FGSG_07593	fgr00040
fgr:FGSG_07794	fgr00040
fgr:FGSG_08511	fgr00040
fgr:FGSG_08941	fgr00040
fgr:FGSG_08942	fgr00040
fgr:FGSG_08943	fgr00040
fgr:FGSG_08980	fgr00040
fgr:FGSG_09257	fgr00040
fgr:FGSG_09291	fgr00040
fgr:FGSG_09599	fgr00040
fgr:FGSG_10004	fgr00040
fgr:FGSG_10025	fgr00040
fgr:FGSG_10026	fgr00040
fgr:FGSG_10708	fgr00040
fgr:FGSG_11011	fgr00040
fgr:FGSG_11094	fgr00040
fgr:FGSG_11163	fgr00040
fgr:FGSG_12483	fgr00040
fgr:FGSG_13737	fgr00040
fgr:FGSG_00500	fgr00051
fgr:FGSG_01445	fgr00051
fgr:FGSG_02770	fgr00051
fgr:FGSG_03014	fgr00051
fgr:FGSG_03311	fgr00051
fgr:FGSG_04248	fgr00051
fgr:FGSG_04343	fgr00051
fgr:FGSG_04481	fgr00051
fgr:FGSG_04678	fgr00051
fgr:FGSG_04826	fgr00051
fgr:FGSG_05330	fgr00051
fgr:FGSG_06702	fgr00051
fgr:FGSG_07017	fgr00051
fgr:FGSG_07113	fgr00051
fgr:FGSG_07330	fgr00051
fgr:FGSG_08042	fgr00051
fgr:FGSG_08044	fgr00051
fgr:FGSG_08045	fgr00051
fgr:FGSG_08399	fgr00051
fgr:FGSG_08773	fgr00051
fgr:FGSG_08774	fgr00051
fgr:FGSG_08942	fgr00051
fgr:FGSG_09280	fgr00051
fgr:FGSG_09456	fgr00051
fgr:FGSG_09599	fgr00051
fgr:FGSG_09882	fgr00051
fgr:FGSG_09883	fgr00051
fgr:FGSG_10131	fgr00051
fgr:FGSG_10210	fgr00051
fgr:FGSG_11066	fgr00051
fgr:FGSG_11699	fgr00051
fgr:FGSG_13188	fgr00051
fgr:FGSG_00068	fgr00052
fgr:FGSG_00096	fgr00052
fgr:FGSG_00251	fgr00052
fgr:FGSG_00387	fgr00052
fgr:FGSG_00500	fgr00052
fgr:FGSG_00524	fgr00052
fgr:FGSG_01803	fgr00052
fgr:FGSG_01829	fgr00052
fgr:FGSG_02059	fgr00052
fgr:FGSG_02067	fgr00052
fgr:FGSG_02339	fgr00052
fgr:FGSG_03014	fgr00052
fgr:FGSG_03255	fgr00052
fgr:FGSG_03269	fgr00052
fgr:FGSG_03288	fgr00052
fgr:FGSG_03462	fgr00052
fgr:FGSG_03569	fgr00052
fgr:FGSG_03703	fgr00052
fgr:FGSG_03890	fgr00052
fgr:FGSG_03955	fgr00052
fgr:FGSG_04085	fgr00052
fgr:FGSG_05668	fgr00052
fgr:FGSG_05689	fgr00052
fgr:FGSG_05997	fgr00052
fgr:FGSG_06059	fgr00052
fgr:FGSG_07689	fgr00052
fgr:FGSG_08399	fgr00052
fgr:FGSG_08415	fgr00052
fgr:FGSG_08774	fgr00052
fgr:FGSG_09082	fgr00052
fgr:FGSG_09093	fgr00052
fgr:FGSG_09456	fgr00052
fgr:FGSG_10462	fgr00052
fgr:FGSG_11032	fgr00052
fgr:FGSG_11169	fgr00052
fgr:FGSG_13188	fgr00052
fgr:FGSG_13468	fgr00052
fgr:FGSG_13805	fgr00052
fgr:FGSG_00139	fgr00053
fgr:FGSG_00231	fgr00053
fgr:FGSG_00979	fgr00053
fgr:FGSG_01686	fgr00053
fgr:FGSG_01759	fgr00053
fgr:FGSG_02160	fgr00053
fgr:FGSG_02273	fgr00053
fgr:FGSG_02296	fgr00053
fgr:FGSG_02392	fgr00053
fgr:FGSG_02751	fgr00053
fgr:FGSG_03048	fgr00053
fgr:FGSG_03393	fgr00053
fgr:FGSG_03645	fgr00053
fgr:FGSG_03816	fgr00053
fgr:FGSG_04194	fgr00053
fgr:FGSG_04232	fgr00053
fgr:FGSG_05831	fgr00053
fgr:FGSG_06619	fgr00053
fgr:FGSG_07593	fgr00053
fgr:FGSG_08694	fgr00053
fgr:FGSG_08980	fgr00053
fgr:FGSG_10339	fgr00053
fgr:FGSG_11482	fgr00053
fgr:FGSG_12106	fgr00053
fgr:FGSG_12407	fgr00053
fgr:FGSG_13865	fgr00053
fgr:FGSG_00036	fgr00061
fgr:FGSG_00287	fgr00061
fgr:FGSG_01419	fgr00061
fgr:FGSG_02303	fgr00061
fgr:FGSG_03363	fgr00061
fgr:FGSG_03438	fgr00061
fgr:FGSG_03838	fgr00061
fgr:FGSG_04045	fgr00061
fgr:FGSG_05321	fgr00061
fgr:FGSG_05322	fgr00061
fgr:FGSG_06029	fgr00061
fgr:FGSG_06455	fgr00061
fgr:FGSG_06580	fgr00061
fgr:FGSG_07226	fgr00061
fgr:FGSG_07659	fgr00061
fgr:FGSG_08521	fgr00061
fgr:FGSG_08543	fgr00061
fgr:FGSG_09169	fgr00061
fgr:FGSG_11198	fgr00061
fgr:FGSG_11656	fgr00061
fgr:FGSG_12922	fgr00061
fgr:FGSG_13675	fgr00061
fgr:FGSG_00090	fgr00062
fgr:FGSG_00629	fgr00062
fgr:FGSG_03244	fgr00062
fgr:FGSG_04980	fgr00062
fgr:FGSG_05670	fgr00062
fgr:FGSG_07304	fgr00062
fgr:FGSG_07347	fgr00062
fgr:FGSG_08521	fgr00062
fgr:FGSG_11295	fgr00062
fgr:FGSG_12648	fgr00062
fgr:FGSG_13111	fgr00062
fgr:FGSG_00090	fgr00071
fgr:FGSG_00139	fgr00071
fgr:FGSG_00979	fgr00071
fgr:FGSG_01419	fgr00071
fgr:FGSG_01759	fgr00071
fgr:FGSG_01972	fgr00071
fgr:FGSG_02034	fgr00071
fgr:FGSG_02160	fgr00071
fgr:FGSG_02273	fgr00071
fgr:FGSG_02287	fgr00071
fgr:FGSG_02291	fgr00071
fgr:FGSG_02296	fgr00071
fgr:FGSG_02392	fgr00071
fgr:FGSG_03244	fgr00071
fgr:FGSG_03363	fgr00071
fgr:FGSG_04194	fgr00071
fgr:FGSG_04243	fgr00071
fgr:FGSG_05087	fgr00071
fgr:FGSG_05140	fgr00071
fgr:FGSG_05551	fgr00071
fgr:FGSG_05831	fgr00071
fgr:FGSG_06459	fgr00071
fgr:FGSG_07596	fgr00071
fgr:FGSG_08066	fgr00071
fgr:FGSG_08543	fgr00071
fgr:FGSG_09321	fgr00071
fgr:FGSG_09503	fgr00071
fgr:FGSG_09661	fgr00071
fgr:FGSG_10200	fgr00071
fgr:FGSG_10804	fgr00071
fgr:FGSG_10855	fgr00071
fgr:FGSG_10950	fgr00071
fgr:FGSG_11295	fgr00071
fgr:FGSG_11369	fgr00071
fgr:FGSG_11482	fgr00071
fgr:FGSG_11484	fgr00071
fgr:FGSG_11557	fgr00071
fgr:FGSG_13111	fgr00071
fgr:FGSG_13398	fgr00071
fgr:FGSG_13865	fgr00071
fgr:FGSG_01000	fgr00100
fgr:FGSG_01203	fgr00100
fgr:FGSG_01959	fgr00100
fgr:FGSG_02016	fgr00100
fgr:FGSG_02346	fgr00100
fgr:FGSG_02502	fgr00100
fgr:FGSG_02783	fgr00100
fgr:FGSG_03443	fgr00100
fgr:FGSG_03444	fgr00100
fgr:FGSG_03686	fgr00100
fgr:FGSG_04092	fgr00100
fgr:FGSG_04994	fgr00100
fgr:FGSG_05740	fgr00100
fgr:FGSG_05921	fgr00100
fgr:FGSG_05950	fgr00100
fgr:FGSG_06215	fgr00100
fgr:FGSG_06606	fgr00100
fgr:FGSG_07315	fgr00100
fgr:FGSG_07555	fgr00100
fgr:FGSG_08571	fgr00100
fgr:FGSG_09265	fgr00100
fgr:FGSG_09381	fgr00100
fgr:FGSG_09830	fgr00100
fgr:FGSG_09863	fgr00100
fgr:FGSG_10003	fgr00100
fgr:FGSG_11024	fgr00100
fgr:FGSG_11714	fgr00100
fgr:FGSG_12748	fgr00100
fgr:FGSG_13596	fgr00100
fgr:FGSG_13888	fgr00100
fgr:FGSG_00375	fgr00130
fgr:FGSG_01285	fgr00130
fgr:FGSG_01403	fgr00130
fgr:FGSG_03589	fgr00130
fgr:FGSG_06001	fgr00130
fgr:FGSG_06435	fgr00130
fgr:FGSG_08453	fgr00130
fgr:FGSG_09239	fgr00130
fgr:FGSG_09918	fgr00130
fgr:FGSG_10230	fgr00130
fgr:FGSG_10613	fgr00130
fgr:FGSG_10732	fgr00130
fgr:FGSG_12202	fgr00130
fgr:FGSG_13280	fgr00130
fgr:FGSG_13860	fgr00130
fgr:FGSG_00300	fgr00190
fgr:FGSG_00310	fgr00190
fgr:FGSG_00373	fgr00190
fgr:FGSG_00376	fgr00190
fgr:FGSG_00429	fgr00190
fgr:FGSG_00471	fgr00190
fgr:FGSG_00496	fgr00190
fgr:FGSG_00556	fgr00190
fgr:FGSG_00561	fgr00190
fgr:FGSG_00637	fgr00190
fgr:FGSG_00644	fgr00190
fgr:FGSG_00656	fgr00190
fgr:FGSG_00743	fgr00190
fgr:FGSG_00818	fgr00190
fgr:FGSG_01152	fgr00190
fgr:FGSG_01195	fgr00190
fgr:FGSG_01328	fgr00190
fgr:FGSG_01425	fgr00190
