ncbi_geneid	kegg_gene
23547523	fgr:FGSG_00001
23547524	fgr:FGSG_00002
23547525	fgr:FGSG_00003
23547526	fgr:FGSG_00004
23547527	fgr:FGSG_00005
23547528	fgr:FGSG_00006
23547529	fgr:FGSG_00007
23547530	fgr:FGSG_00009
23547531	fgr:FGSG_00010
23547532	fgr:FGSG_00011
23547533	fgr:FGSG_00012
23547534	fgr:FGSG_00013
23547535	fgr:FGSG_00014
23547536	fgr:FGSG_00015
23547537	fgr:FGSG_00016
23547538	fgr:FGSG_00017
23547539	fgr:FGSG_00018
23547540	fgr:FGSG_00019
23547541	fgr:FGSG_00020
23547542	fgr:FGSG_00021
23547543	fgr:FGSG_00023
23547544	fgr:FGSG_00024
23547545	fgr:FGSG_00025
23547546	fgr:FGSG_00026
23547547	fgr:FGSG_00027
23547548	fgr:FGSG_00028
23547549	fgr:FGSG_00029
23547550	fgr:FGSG_00030
23547551	fgr:FGSG_00031
23547552	fgr:FGSG_00032
23547553	fgr:FGSG_00033
23547554	fgr:FGSG_00034
23547555	fgr:FGSG_00036
23547556	fgr:FGSG_00038
23547557	fgr:FGSG_00039
23547558	fgr:FGSG_00040
23547559	fgr:FGSG_00043
23547560	fgr:FGSG_00044
23547561	fgr:FGSG_00045
23547562	fgr:FGSG_00046
23547563	fgr:FGSG_00047
23547564	fgr:FGSG_00048
23547565	fgr:FGSG_00049
23547566	fgr:FGSG_00050
23547567	fgr:FGSG_00051
23547568	fgr:FGSG_00052
23547569	fgr:FGSG_00053
23547570	fgr:FGSG_00054
23547571	fgr:FGSG_00055
23547572	fgr:FGSG_00056
23547573	fgr:FGSG_00058
23547574	fgr:FGSG_00059
23547575	fgr:FGSG_00060
23547576	fgr:FGSG_00061
23547577	fgr:FGSG_00062
23547578	fgr:FGSG_00063
23547579	fgr:FGSG_00064
23547580	fgr:FGSG_00065
23547581	fgr:FGSG_00066
23547582	fgr:FGSG_00067
23547583	fgr:FGSG_00068
23547584	fgr:FGSG_00069
23547585	fgr:FGSG_00070
23547586	fgr:FGSG_00071
23547587	fgr:FGSG_00072
23547588	fgr:FGSG_00073
23547589	fgr:FGSG_00074
23547590	fgr:FGSG_00075
23547591	fgr:FGSG_00076
23547592	fgr:FGSG_00077
23547593	fgr:FGSG_00078
23547594	fgr:FGSG_00079
23547595	fgr:FGSG_00080
23547596	fgr:FGSG_00081
23547597	fgr:FGSG_00082
23547598	fgr:FGSG_00083
23547599	fgr:FGSG_00084
23547600	fgr:FGSG_00085
23547601	fgr:FGSG_00087
23547602	fgr:FGSG_00089
23547603	fgr:FGSG_00090
23547604	fgr:FGSG_00091
23547605	fgr:FGSG_00092
23547606	fgr:FGSG_00093
23547607	fgr:FGSG_00094
23547608	fgr:FGSG_00095
23547609	fgr:FGSG_00096
23547610	fgr:FGSG_00097
23547611	fgr:FGSG_00099
23547612	fgr:FGSG_00100
23547613	fgr:FGSG_00101
23547614	fgr:FGSG_00102
23547615	fgr:FGSG_00103
23547616	fgr:FGSG_00104
23547617	fgr:FGSG_00105
23547618	fgr:FGSG_00107
23547619	fgr:FGSG_00108
23547620	fgr:FGSG_00109
23547621	fgr:FGSG_00110
23547622	fgr:FGSG_00111
23547623	fgr:FGSG_00112
23547624	fgr:FGSG_00114
23547625	fgr:FGSG_00115
23547626	fgr:FGSG_00116
23547627	fgr:FGSG_00117
23547628	fgr:FGSG_00118
23547629	fgr:FGSG_00119
23547630	fgr:FGSG_00120
23547631	fgr:FGSG_00121
23547632	fgr:FGSG_00122
23547633	fgr:FGSG_00123
23547634	fgr:FGSG_00124
23547635	fgr:FGSG_00125
23547636	fgr:FGSG_00126
23547637	fgr:FGSG_00127
23547638	fgr:FGSG_00128
23547639	fgr:FGSG_00129
23547640	fgr:FGSG_00130
23547641	fgr:FGSG_00131
23547642	fgr:FGSG_00132
23547643	fgr:FGSG_00134
23547644	fgr:FGSG_00135
23547645	fgr:FGSG_00136
23547646	fgr:FGSG_00137
23547647	fgr:FGSG_00138
23547648	fgr:FGSG_00139
23547649	fgr:FGSG_00140
23547650	fgr:FGSG_00141
23547651	fgr:FGSG_00142
23547652	fgr:FGSG_00143
23547653	fgr:FGSG_00144
23547654	fgr:FGSG_00145
23547655	fgr:FGSG_00147
23547656	fgr:FGSG_00148
23547657	fgr:FGSG_00150
23547658	fgr:FGSG_00151
23547659	fgr:FGSG_00152
23547660	fgr:FGSG_00153
23547661	fgr:FGSG_00154
23547662	fgr:FGSG_00156
23547663	fgr:FGSG_00157
23547664	fgr:FGSG_00158
23547665	fgr:FGSG_00160
23547666	fgr:FGSG_00161
23547667	fgr:FGSG_00162
23547668	fgr:FGSG_00163
23547669	fgr:FGSG_00164
23547670	fgr:FGSG_00165
23547671	fgr:FGSG_00166
23547672	fgr:FGSG_00168
