sample_id	context	n_sites	n_methyl	n_unmethyl	depth	weighted_meth_pct
SRR10382875	CpG	3484096	5277094	859749728	865026822	0.610049754041037
SRR10382875	CHG	3252566	4851974	806762793	811614767	0.597817363271312
SRR10382875	CHH	10544948	15459908	2572277971	2587737879	0.597429443123285
SRR10382876	CpG	3484289	5273228	766088478	771361706	0.683625847508691
SRR10382876	CHG	3252740	4800665	720479711	725280376	0.661904714212204
SRR10382876	CHH	10545586	15193319	2315905823	2331099142	0.651766315994809
SRR10382877	CpG	3484802	5167384	775271643	780439027	0.662112454814487
SRR10382877	CHG	3253071	4729423	726932342	731661765	0.646394717646616
SRR10382877	CHH	10546479	14926956	2307981811	2322908767	0.642597600562588
SRR10382878	CpG	3484859	12679648	836454654	849134302	1.49324411581715
SRR10382878	CHG	3253125	11331392	796341848	807673240	1.40296736833822
SRR10382878	CHH	10546946	36436609	2657632500	2694069109	1.35247491900921
