chr	n_methyl	n_unmethyl	depth	weighted_meth_pct	sample_id	context	feature_id
1	1684316	273859918	275544234	0.611268824445806	SRR10382875	CpG	CpG|1
2	1241253	203828774	205070027	0.605282506740978	SRR10382875	CpG	CpG|2
3	1104597	179579151	180683748	0.611342753416871	SRR10382875	CpG	CpG|3
4	1138629	185515938	186654567	0.610019362665795	SRR10382875	CpG	CpG|4
supercont3.32	51335	8027124	8078459	0.635455351076239	SRR10382875	CpG	CpG|supercont3.32
supercont3.33	54773	8575589	8630362	0.634654722478617	SRR10382875	CpG	CpG|supercont3.33
DS231675	1275	219909	221184	0.576443142361111	SRR10382875	CpG	CpG|DS231675
DS231677	34	12778	12812	0.265376209803309	SRR10382875	CpG	CpG|DS231677
DS231688	574	87830	88404	0.649291887244921	SRR10382875	CpG	CpG|DS231688
DS231690	3	40	43	6.97674418604651	SRR10382875	CpG	CpG|DS231690
DS231693	305	42677	42982	0.709599367176958	SRR10382875	CpG	CpG|DS231693
1	1532601	254926838	256459439	0.597599763134474	SRR10382875	CHG	CHG|1
2	1151632	192699736	193851368	0.59407989320973	SRR10382875	CHG	CHG|2
3	1005564	167169156	168174720	0.597928154719092	SRR10382875	CHG	CHG|3
4	1031874	172110521	173142395	0.595968422407464	SRR10382875	CHG	CHG|4
supercont3.32	58851	9093740	9152591	0.642998250440777	SRR10382875	CHG	CHG|supercont3.32
supercont3.33	69873	10507981	10577854	0.660559315717536	SRR10382875	CHG	CHG|supercont3.33
DS231675	730	119938	120668	0.60496569098684	SRR10382875	CHG	CHG|DS231675
DS231677	144	25473	25617	0.562126712729828	SRR10382875	CHG	CHG|DS231677
DS231688	394	64784	65178	0.604498450397373	SRR10382875	CHG	CHG|DS231688
DS231690	4	33	37	10.8108108108108	SRR10382875	CHG	CHG|DS231690
DS231693	307	44593	44900	0.683741648106904	SRR10382875	CHG	CHG|DS231693
1	4723572	796491446	801215018	0.589551105992873	SRR10382875	CHH	CHH|1
2	3594635	608426026	612020661	0.587338831686926	SRR10382875	CHH	CHH|2
3	3135872	525451340	528587212	0.593255366155169	SRR10382875	CHH	CHH|3
4	3175795	537218551	540394346	0.587681019149671	SRR10382875	CHH	CHH|4
supercont3.32	353407	45097006	45450413	0.777566091643656	SRR10382875	CHH	CHH|supercont3.32
supercont3.33	463406	57918204	58381610	0.793753375420787	SRR10382875	CHH	CHH|supercont3.33
DS231675	5107	861023	866130	0.589634350501657	SRR10382875	CHH	CHH|DS231675
DS231677	6285	510365	516650	1.21649085454369	SRR10382875	CHH	CHH|DS231677
DS231688	1079	181721	182800	0.590262582056893	SRR10382875	CHH	CHH|DS231688
DS231690	6	56	62	9.67741935483871	SRR10382875	CHH	CHH|DS231690
DS231693	744	122233	122977	0.604991177211999	SRR10382875	CHH	CHH|DS231693
