Strand	Read	Position	nMethylated	nUnmethylated
OT	1	1	201813	9605009
OT	2	1	109164	10213655
OT	1	2	113634	8344912
OT	2	2	110465	10087156
OT	1	3	100379	9393930
OT	2	3	114427	10143028
OT	1	4	99510	10140717
OT	2	4	69728	10360463
OT	1	5	82514	10305480
OT	2	5	65763	10323742
OT	1	6	80360	10742882
OT	2	6	63577	10415194
OT	1	7	66283	9625846
OT	2	7	64403	10218893
OT	1	8	71770	10716399
OT	2	8	64843	10397532
OT	1	9	68926	10496914
OT	2	9	62453	10349310
OT	1	10	66611	10430028
OT	2	10	61835	10388120
OT	1	11	65484	10476097
OT	2	11	60261	10366423
OT	1	12	65987	10569746
OT	2	12	59966	10384291
OT	1	13	63251	10390211
OT	2	13	60149	10396899
OT	1	14	62362	10340065
OT	2	14	59179	10347767
OT	1	15	63113	10481880
OT	2	15	62921	10345503
OT	1	16	61878	10395537
OT	2	16	60029	10399395
OT	1	17	65524	10295576
OT	2	17	58900	10330152
OT	1	18	62525	10463310
OT	2	18	60221	10352344
OT	1	19	59765	10211887
OT	2	19	60907	10352604
OT	1	20	59858	10298906
OT	2	20	60376	10330504
OT	1	21	61157	10560854
OT	2	21	58466	10383923
OT	1	22	69048	10511930
OT	2	22	58815	10424382
OT	1	23	60403	10473935
OT	2	23	58148	10370134
OT	1	24	60374	10527650
OT	2	24	58288	10387141
OT	1	25	60591	10416982
OT	2	25	58465	10412690
OT	1	26	59862	10427544
OT	2	26	58930	10357717
OT	1	27	60382	10543401
OT	2	27	57837	10388025
OT	1	28	60440	10442457
OT	2	28	59546	10405113
OT	1	29	59325	10428086
OT	2	29	57770	10353532
OT	1	30	59740	10544329
OT	2	30	58874	10376329
OT	1	31	59267	10431948
OT	2	31	57896	10410905
OT	1	32	59355	10420385
OT	2	32	59115	10361309
OT	1	33	59621	10526441
OT	2	33	57740	10381880
OT	1	34	59078	10423408
OT	2	34	57737	10409850
OT	1	35	58603	10409089
OT	2	35	58667	10342224
OT	1	36	59444	10524166
OT	2	36	58896	10364111
OT	1	37	58270	10418771
OT	2	37	57235	10396881
OT	1	38	58645	10405893
OT	2	38	57086	10356482
OT	1	39	59905	10502036
OT	2	39	57539	10369191
OT	1	40	58482	10400921
OT	2	40	56791	10395881
OT	1	41	58329	10389223
OT	2	41	57046	10342228
OT	1	42	59126	10485307
OT	2	42	57012	10364727
OT	1	43	58088	10395194
OT	2	43	57552	10393453
OT	1	44	57967	10369355
