gene_id	Geneid	locus_tag	gene_biotype	product	db_xref
FGSG_00001	gene:FGSG_00001	FGSG_00001	protein_coding	uncharacterized protein	GeneID:23547523
FGSG_00002	gene:FGSG_00002	FGSG_00002	protein_coding	uncharacterized protein	GeneID:23547524
FGSG_00003	gene:FGSG_00003	FGSG_00003	protein_coding	uncharacterized protein	GeneID:23547525
FGSG_00004	gene:FGSG_00004	FGSG_00004	protein_coding	uncharacterized protein	GeneID:23547526
FGSG_00005	gene:FGSG_00005	FGSG_00005	protein_coding	uncharacterized protein	GeneID:23547527
FGSG_00006	gene:FGSG_00006	FGSG_00006	protein_coding	uncharacterized protein	GeneID:23547528
FGSG_00007	gene:FGSG_00007	FGSG_00007	protein_coding	uncharacterized protein	GeneID:23547529
FGSG_00009	gene:FGSG_00009	FGSG_00009	protein_coding	uncharacterized protein	GeneID:23547530
FGSG_00010	gene:FGSG_00010	FGSG_00010	protein_coding	uncharacterized protein	GeneID:23547531
FGSG_00011	gene:FGSG_00011	FGSG_00011	protein_coding	uncharacterized protein	GeneID:23547532
FGSG_00012	gene:FGSG_00012	FGSG_00012	protein_coding	uncharacterized protein	GeneID:23547533
FGSG_00013	gene:FGSG_00013	FGSG_00013	protein_coding	uncharacterized protein	GeneID:23547534
FGSG_00014	gene:FGSG_00014	FGSG_00014	protein_coding	uncharacterized protein	GeneID:23547535
FGSG_00015	gene:FGSG_00015	FGSG_00015	protein_coding	uncharacterized protein	GeneID:23547536
FGSG_00016	gene:FGSG_00016	FGSG_00016	protein_coding	uncharacterized protein	GeneID:23547537
FGSG_00017	gene:FGSG_00017	FGSG_00017	protein_coding	uncharacterized protein	GeneID:23547538
FGSG_00018	gene:FGSG_00018	FGSG_00018	protein_coding	uncharacterized protein	GeneID:23547539
FGSG_00019	gene:FGSG_00019	FGSG_00019	protein_coding	uncharacterized protein	GeneID:23547540
FGSG_00020	gene:FGSG_00020	FGSG_00020	protein_coding	uncharacterized protein	GeneID:23547541
FGSG_00021	gene:FGSG_00021	FGSG_00021	protein_coding	uncharacterized protein	GeneID:23547542
FGSG_00023	gene:FGSG_00023	FGSG_00023	protein_coding	uncharacterized protein	GeneID:23547543
FGSG_00024	gene:FGSG_00024	FGSG_00024	protein_coding	uncharacterized protein	GeneID:23547544
FGSG_00025	gene:FGSG_00025	FGSG_00025	protein_coding	uncharacterized protein	GeneID:23547545
FGSG_00026	gene:FGSG_00026	FGSG_00026	protein_coding	uncharacterized protein	GeneID:23547546
FGSG_00027	gene:FGSG_00027	FGSG_00027	protein_coding	uncharacterized protein	GeneID:23547547
FGSG_00028	gene:FGSG_00028	FGSG_00028	protein_coding	uncharacterized protein	GeneID:23547548
