# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "6" "-p" "-t" "exon" "-g" "gene_id" "-s" "2" "-a" "/mnt/d/BioInf/Task_2/Reference_genome/Fusarium_graminearum_ph_1_gca_000240135.ASM24013v3.62.gtf" "-o" "/mnt/d/BioInf/Task_2/Quantification_results/SRR10408675/counts.txt" "/mnt/d/BioInf/Task_2/Alignment_results/SRR10408675/SRR10408675_aligned_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/BioInf/Task_2/Alignment_results/SRR10408675/SRR10408675_aligned_sorted.bam
gene:FGSG_11579	1	1517	2509	+	993	2
gene:FGSG_11580	1;1	3127;3435	3192;3716	-;-	348	98
gene:FGSG_11581	1;1;1;1	6045;7249;7787;8012	6888;7575;7871;8153	+;+;+;+	1398	105
gene:FGSG_11582	1	8754	9110	+	357	15
gene:FGSG_14022	1	9663	10997	-	1335	16
gene:FGSG_14023	1;1;1;1	11518;11642;12076;12730	11528;12003;12609;13070	-;-;-;-	1248	4
gene:FGSG_11584	1	13800	14132	+	333	0
gene:FGSG_11585	1;1;1;1;1;1;1;1	15133;15373;15532;15801;15911;16141;16362;16610	15318;15479;15691;15859;16094;16299;16551;16722	+;+;+;+;+;+;+;+	1158	397
gene:FGSG_11606	1;1;1;1	23585;23670;24017;24104	23623;23960;24051;24359	+;+;+;+	621	0
gene:FGSG_14029	1;1;1;1	27560;27690;28077;28395	27637;28026;28336;28712	+;+;+;+	993	30
gene:FGSG_14030	1;1;1	29034;29368;29557	29352;29448;29606	+;+;+	450	15
gene:FGSG_11641	1	33093	33758	+	666	0
gene:FGSG_11605	1;1;1;1	37592;38208;38447;38552	38140;38401;38485;38903	-;-;-;-	1134	18
gene:FGSG_11642	1;1	41794;42325	42267;42519	+;+	669	89
gene:FGSG_11643	1;1	43188;43360	43295;43647	+;+	396	0
gene:FGSG_11600	1;1;1;1	44730;45357;46037;46674	45278;45787;46337;46697	+;+;+;+	1305	87
gene:FGSG_11601	1;1	48630;49391	48962;49480	-;-	423	0
gene:FGSG_00001	1;1;1;1;1	50001;50246;50351;50510;50644	50101;50315;50461;50524;50655	-;-;-;-;-	309	0
gene:FGSG_00002	1	51198	53396	+	2199	0
gene:FGSG_11644	1;1	53538;54656	54415;55460	-;-	1683	10
gene:FGSG_00003	1;1;1;1	57807;58428;59535;60105	58379;59484;59687;61189	+;+;+;+	2868	0
gene:FGSG_00004	1;1;1	62695;63116;63464	63058;63396;63490	-;-;-	672	0
gene:FGSG_00005	1	64956	67145	+	2190	0
gene:FGSG_00006	1;1;1;1;1	68474;68641;68909;69119;69344	68585;68856;68962;69291;69679	+;+;+;+;+	891	4
gene:FGSG_00007	1;1	70246;71411	71267;71768	-;-	1380	18
gene:FGSG_11645	1	73688	75736	+	2049	2
gene:FGSG_11646	1;1;1;1	75830;75911;75994;76111	75877;75937;76012;76343	+;+;+;+	327	0
gene:FGSG_11647	1	76814	77164	+	351	0
gene:FGSG_00009	1;1	77920;78569	78428;78683	-;-	624	0
gene:FGSG_00010	1;1;1	79384;79655;80083	79594;80006;80149	-;-;-	630	0
gene:FGSG_00011	1;1;1;1;1;1;1	80697;81098;81320;81776;82178;82593;83648	81040;81234;81453;82097;82545;83298;83796	+;+;+;+;+;+;+	2160	135
gene:FGSG_00012	1	84152	85708	-	1557	4
gene:FGSG_00013	1;1	86666;87227	87172;88324	+;+	1605	0
gene:FGSG_11648	1;1	89257;89657	89472;90559	+;+	1119	43
gene:FGSG_11649	1;1;1;1	91331;91807;91952;92300	91423;91895;92241;92529	+;+;+;+	702	2
gene:FGSG_00014	1;1;1	92766;93030;93633	92955;93555;94041	-;-;-	1125	0
gene:FGSG_00015	1;1;1;1;1;1	94967;95245;95486;95628;96440;96729	95189;95424;95583;96381;96670;96859	+;+;+;+;+;+	1617	0
gene:FGSG_11650	1	97229	97552	-	324	0
gene:FGSG_00016	1;1	98066;98201	98150;99280	+;+	1165	0
gene:FGSG_00017	1	99853	101547	+	1695	2
gene:FGSG_00018	1;1	102388;102804	102742;103447	+;+	999	2498
gene:FGSG_00019	1;1;1	104442;104943;105692	104878;105633;106192	+;+;+	1629	3
gene:FGSG_00020	1;1;1;1;1;1	106304;108212;108559;108720;108855;109151	108157;108479;108669;108801;109096;109569	-;-;-;-;-;-	2976	14
gene:FGSG_00021	1;1	110826;111248	111159;111879	+;+	966	64
gene:FGSG_11651	1;1	112387;112746	112696;112837	-;-	402	14
gene:FGSG_11652	1;1;1	113290;113472;113728	113412;113678;114132	-;-;-	735	2
gene:FGSG_00023	1	114966	115757	+	792	0
gene:FGSG_00024	1	116295	117434	+	1140	690
gene:FGSG_00025	1;1;1;1	117562;118391;118577;119502	118335;118525;119152;119546	-;-;-;-	1530	88
gene:FGSG_00026	1;1;1;1;1;1	119708;119978;120137;120373;120837;121202	119924;120084;120311;120781;121110;121237	+;+;+;+;+;+	1218	8
gene:FGSG_00027	1	121389	122906	-	1518	6
gene:FGSG_00028	1;1	123521;123647	123593;124401	-;-	828	2
gene:FGSG_00029	1;1;1;1	126575;127005;127184;127359	126656;127058;127301;127641	-;-;-;-	537	18
gene:FGSG_00030	1;1	128646;129208	129146;129351	-;-	645	53
gene:FGSG_00031	1;1;1	130730;133917;134929	133866;134851;134954	+;+;+	4098	0
gene:FGSG_00032	1	135236	136072	-	837	692
gene:FGSG_00033	1;1	136747;137138	137033;137534	-;-	684	901
gene:FGSG_00034	1;1;1;1	138476;138863;139120;139739	138804;139066;139682;140223	-;-;-;-	1581	2
gene:FGSG_11653	1	141156	142580	-	1425	32
gene:FGSG_11654	1;1	143000;145213	145162;145263	-;-	2214	2
gene:FGSG_00036	1;1;1;1;1	145658;146915;150035;150551;150642	146858;149975;150486;150577;150697	-;-;-;-;-	4797	30
gene:FGSG_11655	1;1;1	151510;151756;152018	151512;151960;153036	+;+;+	1227	26
gene:FGSG_11656	1;1;1;1;1	153701;158907;159460;159658;160115	158852;159395;159575;160056;160141	+;+;+;+;+	6183	10
gene:FGSG_00038	1;1	160290;160898	160822;160958	-;-	594	19
gene:FGSG_00039	1	161966	162967	+	1002	674
gene:FGSG_00040	1;1;1;1	163229;164146;164902;165480	164081;164847;165428;165578	-;-;-;-	2181	0
gene:FGSG_11657	1;1;1;1;1;1;1;1	167833;168163;168511;168815;169020;169791;169851;170408	168117;168296;168752;168986;169594;169803;170132;170927	-;-;-;-;-;-;-;-	2223	11
gene:FGSG_11658	1	171341	172428	-	1088	64
gene:FGSG_11659	1;1	177410;177549	177507;190857	-;-	13407	2
gene:FGSG_11660	1;1	195086;195276	195138;197940	-;-	2718	0
gene:FGSG_00043	1	199051	200085	-	1035	229
gene:FGSG_00044	1	200324	201292	+	969	36
gene:FGSG_00045	1	202246	203094	-	849	1039
gene:FGSG_00046	1;1;1;1;1;1;1;1;1;1;1;1;1;1	203559;203797;204380;204658;204993;206023;206250;206639;206810;207036;207151;207831;207973;208406	203747;204325;204594;204937;205957;206188;206573;206775;206979;207100;207769;207914;208347;208625	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4338	81
gene:FGSG_00047	1;1;1;1	209093;210418;210689;210792	210054;210632;210758;210926	+;+;+;+	1382	8
gene:FGSG_00048	1;1;1	211641;212001;212131	211946;212069;212901	+;+;+	1146	72
gene:FGSG_00049	1;1;1;1;1	213485;213585;213685;213941;214646	213518;213617;213798;214563;214990	+;+;+;+;+	1149	56
gene:FGSG_11661	1	215525	216109	+	585	0
gene:FGSG_00050	1	216692	217648	+	957	142
gene:FGSG_00051	1;1;1	217735;218145;218650	218078;218584;218843	-;-;-	978	502
gene:FGSG_00052	1;1;1;1	219527;219617;219720;220449	219564;219662;220396;220686	+;+;+;+	999	17
gene:FGSG_00053	1	221823	223139	-	1317	6
gene:FGSG_00054	1	223982	224911	+	930	2
gene:FGSG_00055	1;1	225087;226428	226375;234492	-;-	9354	2
gene:FGSG_00056	1;1	235303;235415	235333;235863	-;-	480	0
gene:FGSG_11662	1;1;1;1;1;1	237629;237850;238074;238315;238571;239281	237799;238011;238242;238522;238999;239692	+;+;+;+;+;+	1551	18
gene:FGSG_11663	1;1;1;1	241253;241544;241966;242660	241490;241914;242606;243410	+;+;+;+	2001	4
gene:FGSG_11664	1	243890	245491	+	1602	0
gene:FGSG_11665	1;1;1;1;1	246525;246585;247456;248124;248346	246583;247431;248049;248299;248505	-;-;-;-;-	1836	0
gene:FGSG_11666	1;1;1	249017;249200;249692	249150;249284;249835	-;-;-	363	0
gene:FGSG_11667	1;1	250195;250836	250744;251152	+;+	867	0
gene:FGSG_00058	1;1	251276;252707	252659;252837	-;-	1515	31
gene:FGSG_00059	1;1	253787;254062	254011;254397	+;+	561	1128
gene:FGSG_00060	1;1	255431;255716	255663;255887	-;-	405	0
gene:FGSG_00061	1	256652	257029	+	378	0
gene:FGSG_00062	1;1	258302;258568	258511;258869	+;+	512	3
gene:FGSG_00063	1	258933	260618	-	1686	2
gene:FGSG_00064	1	262794	264011	+	1218	117
